龍泉編碼	實體經名	洪武南藏編碼	卷序号	实际卷数	起始冊碼	终止冊碼	備註
LQ0700	佛說長者法志妻經	HUNZ0462	1	1	68	68	
LQ0670	佛說薩羅國經	HUNZ0463	1	1	68	68	
LQ0601	佛說十吉祥經	HUNZ0464	1	1	68	68	
LQ0707	長者女菴提遮師子吼了義經	HUNZ0465	1	1	68	68	
LQ0243	一切智光明仙人慈心因緣不食肉經	HUNZ0466	1	1	68	68	
LQ0304	金剛三昧經	HUNZ0467	2	2	68	68	
LQ0431	佛說法滅盡經	HUNZ0468	1	1	68	68	
LQ0843	佛說甚深大回向經	HUNZ0469	1	1	68	68	
LQ0717	天王太子辟羅經	HUNZ0470	1	1	68	68	
LQ0706	優婆夷淨行法門經	HUNZ0471	2	2	68	68	
LQ0048	八大人覺經	HUNZ0472	1	1	68	68	
LQ0809	佛說三品弟子經	HUNZ0473	1	1	68	68	
LQ0811	佛說四輩經	HUNZ0474	1	1	68	68	
LQ0430	佛說當來變經	HUNZ0475	1	1	68	68	
LQ0240	過去佛分衛經	HUNZ0476	1	1	68	68	
LQ0819	佛說十二頭陀經	HUNZ0477	1	1	68	68	
LQ0681	佛說樹提伽經	HUNZ0478	1	1	68	68	
LQ0221	佛說長壽王經	HUNZ0479	1	1	68	68	
LQ0837	佛說法常住經	HUNZ0480	1	1	68	68	
LQ1651	菩薩地持經	HUNZ0481	8	8	68	69	
LQ1652	菩薩善戒經	HUNZ0482	10	10	69	69	
LQ1561	佛說淨業障經	HUNZ0483	1	1	69	69	
LQ1545	佛說梵綱經	HUNZ0484	1	1	69	69	
LQ1549	優婆塞戒經	HUNZ0485	7	7	69	70	
LQ1567	菩薩戒本經	HUNZ0486	1	1	70	70	
LQ1550	佛藏經	HUNZ0487	4	4	70	70	
LQ1569	優婆塞五戒威儀經	HUNZ0488	1	1	70	70	
LQ1552	清淨毗尼方廣經	HUNZ0489	1	1	70	70	
LQ1554	寂調音所問經	HUNZ0490	1	1	70	70	
LQ1560	大乘三聚懺悔經	HUNZ0491	1	1	70	70	
LQ1571	菩薩五法懺悔經	HUNZ0492	1	1	70	70	
LQ1558	菩薩藏經	HUNZ0493	1	1	70	70	
LQ1557	三曼陀颰陀羅菩薩經	HUNZ0494	1	1	70	70	
LQ1570	菩薩受齊經	HUNZ0495	1	1	70	70	
LQ1559	舍利弗悔過經	HUNZ0496	1	1	70	70	
LQ1551	法律三昧經	HUNZ0497	1	1	70	70	
LQ1576	大智度論	HUNZ0498	100	100	70	74	
LQ1589	十地經論	HUNZ0499	12	12	74	75	
LQ1592	彌勒菩薩所問經論	HUNZ0500	7	7	75	75	
LQ1590	大寶積經論	HUNZ0501	4	4	75	75	
LQ1593	寶髻經四法優波提捨	HUNZ0502	1	1	75	75	
LQ1597	佛地經論	HUNZ0503	7	7	75	76	
LQ1577-2	金刚般若波羅蜜经论（隋達摩岌多）	HUNZ0504	3	3	76	76	
	能断金剛般若波罗蜜經論	HUNZ0505	1	1	76	76	
LQ1579	金刚般若波羅蜜经论（元魏菩提流支）	HUNZ0506	3	3	76	76	
LQ1580	能断金刚般若波羅蜜经论释	HUNZ0507	3	3	76	76	
LQ1582	金刚般若波罗蜜经破取着不坏假名论	HUNZ0508	2	2	76	76	
LQ1598	文殊师利菩萨问菩提经论	HUNZ0509	2	2	76	76	
	妙法莲华经论	HUNZ0510	2	2	76	76	
LQ1599	胜思惟梵天所问经论	HUNZ0511	3	3	76	76	
LQ1596	遺教經論	HUNZ0512	1	1	76	76	
LQ1594	大般涅槃經論	HUNZ0513	1	1	76	76	
LQ1595	涅槃经本有今无偈论	HUNZ0514	1	1	76	76	
LQ1591	无量寿经优波提舍	HUNZ0515	1	1	76	76	
LQ1600	转法轮经优波提舍翻译之记	HUNZ0516	1	1	76	76	
LQ1601	三具足经优波提舍	HUNZ0517	1	1	76	76	
LQ1649	瑜伽师地论	HUNZ0518	100	100	76	80	
LQ1672	顯揚聖教論	HUNZ0519	20	20	80	81	
LQ1675	大乘阿毗達磨集論	HUNZ0520	7	7	81	81	
LQ1685	王法正理論	HUNZ0521	1	1	81	81	
LQ1650	瑜伽師地論釋	HUNZ0522	1	1	81	81	
LQ1673	顯揚聖教論頌	HUNZ0523	1	1	81	81	
LQ1676	大乘阿毗達磨雜集論	HUNZ0524	16	16	81	82	
LQ1633	中論	HUNZ0525	4	4	82	82	
LQ1636	般若燈論	HUNZ0526	15	15	82	82	
LQ1638	十二門論	HUNZ0527	1	1	83	83	
LQ1686	十八空論	HUNZ0528	1	1	83	83	
LQ1639	百論	HUNZ0529	2	2	83	83	
LQ1640	廣百論本	HUNZ0530	1	1	83	83	
LQ1641	廣百論釋論	HUNZ0531	10	10	83	83	
LQ1588	十住毘婆沙論	HUNZ0532	15	15	84	84	
LQ1730	菩提資粮論	HUNZ0533	6	6	84	84	
LQ1674	大乘莊嚴經論（無著造波羅頗迦羅蜜多羅譯）	HUNZ0534	13	13	84	84	
LQ0195	大莊嚴經論（馬鳴造鳩摩羅什譯）	HUNZ0535	15	15	84	85	
LQ1635	順中論	HUNZ0536	2	2	85	85	
LQ1663	攝大乘論(真諦譯）	HUNZ0537	3	3	85	85	
LQ1664	攝大乘論（無著造佛陀扇多譯）	HUNZ0538	2	2	85	85	
LQ1662	攝大乘論本（無著造玄奘譯）	HUNZ0539	3	3	85	85	
LQ1666	攝大乘論釋（天親造真諦譯）	HUNZ0540	15	15	85	86	
LQ1667	攝大乘論釋（世親造達摩岌多譯）	HUNZ0541	10	10	86	86	
LQ1665	攝大乘論釋（世親造玄奘譯）	HUNZ0542	10	10	86	87	
LQ1668	攝大乘論釋（無性造玄奘譯）	HUNZ0543	10	10	87	87	
LQ1680	佛性論	HUNZ0544	4	4	87	87	
LQ1653	決定藏論	HUNZ0545	3	3	87	87	
LQ1671	辯中邉論頌	HUNZ0546	1	1	87	87	
LQ1670	中邉分別論	HUNZ0547	2	2	87	87	
LQ1669	辯中邉論	HUNZ0548	3	3	88	88	
LQ1681	究竟一乘寶性論	HUNZ0549	5	5	88	88	
LQ1679	業成就論	HUNZ0550	1	1	88	88	
LQ1678	大乘成業論	HUNZ0551	1	1	88	88	
LQ1718	因明正理門論本	HUNZ0552	1	1	88	88	
LQ1719	因明正理門論	HUNZ0553	1	1	88	88	
LQ1720	因明入正理論	HUNZ0554	1	1	88	88	
LQ1656	顯識論	HUNZ0555	1	1	88	88	
LQ1657	轉識論	HUNZ0556	1	1	88	88	
LQ1659	大乘唯識論	HUNZ0557	1	1	88	88	
LQ1660	唯識二十論	HUNZ0558	1	1	88	88	
LQ1661	成唯識寶生論	HUNZ0559	5	5	88	88	
LQ1655	唯識三十論	HUNZ0560	1	1	88	88	
LQ2468	成唯識論	HUNZ0561	10	10	88	88	
LQ12647	大丈夫論	HUNZ0562	2	2	89	89	
LQ1724	入大乘論	HUNZ0563	2	2	89	89	
LQ1648	大乘掌珍論	HUNZ0564	2	2	89	89	
LQ1683	大乘廣五蘊論	HUNZ0565	1	1	89	89	
LQ1682	大乘五蘊論	HUNZ0566	1	1	89	89	
LQ1715	寶行王正論	HUNZ0567	1	1	89	89	
LQ1736	大乘起信論	HUNZ0568	1	1	89	89	
LQ1722	方便心論	HUNZ0569	1	1	89	89	
LQ1729	發菩提心論	HUNZ0570	2	2	89	89	
LQ1687	三無性論	HUNZ0571	2	2	89	89	
LQ1692	無相思塵論	HUNZ0572	1	1	89	89	
LQ1693	觀所縁縁論（陳那造玄奘譯）	HUNZ0573	1	1	89	89	
LQ1694	觀所縁論釋（護法造義凈譯）	HUNZ0574	1	1	89	89	
LQ1711	縁生論	HUNZ0575	1	1	89	89	
LQ1642	百字論	HUNZ0576	1	1	89	89	
LQ1689	解拳論	HUNZ0577	1	1	89	89	
LQ1688	掌中論	HUNZ0578	1	1	89	89	
LQ1690	取因假設論	HUNZ0579	1	1	89	89	
LQ1691	觀揔相論頌	HUNZ0580	1	1	89	89	
LQ1714	止觀門論頌	HUNZ0581	1	1	89	89	
LQ1716	手杖論	HUNZ0582	1	1	89	89	
LQ1696	大乘法界無差別論	HUNZ0583	1	1	89	89	
LQ1698	提婆菩薩破楞伽經中外道小乘四宗論	HUNZ0584	1	1	89	89	
LQ1699	提婆菩薩釋楞伽經中外道小乘涅槃論	HUNZ0585	1	1	89	89	
LQ0001	佛說長阿含經	HUNZ0586	22	22	89	90	
LQ0028	中阿含經	HUNZ0587	60	60	90	92	
LQ0144	增壹阿含經	HUNZ0588	50	50	93	94	
LQ0102	雜阿含經	HUNZ0589	50	50	94	96	
LQ0103	别譯雜阿含經	HUNZ0590	20	20	97	97	
LQ0005	佛般泥洹經	HUNZ0591	2	2	97	97	
LQ0413	佛說方等泥洹經	HUNZ0592	2	2	97	97	
LQ0411	大般涅槃經	HUNZ0593	3	3	97	97	
LQ0015	佛说人本欲生經	HUNZ0594	1	1	97	97	
LQ0022	佛說梵志阿颰經	HUNZ0595	1	1	97	97	
LQ0023	佛說梵網六十二見經	HUNZ0596	1	1	98	98	
LQ0018	佛說尸迦羅越六方禮經	HUNZ0597	1	1	98	98	
LQ0024	佛說寂志果經	HUNZ0598	1	1	98	98	
LQ0026	起世經	HUNZ0599	10	10	98	98	
LQ0027	起世因本經	HUNZ0600	10	10	98	98	
LQ0025-2	樓炭經	HUNZ0601	6	6	98	98	
LQ0014	長阿含十報法經	HUNZ0602	2	2	99	99	
LQ0190	中本起經	HUNZ0603	2	2	99	99	
LQ0029	佛說七知經	HUNZ0604	1	1	99	99	
LQ0031	佛說鹹水喻經	HUNZ0605	1	1	99	99	
LQ0033	佛說一切流攝守因經	HUNZ0606	1	1	99	99	
LQ0034	佛說四諦經	HUNZ0607	1	1	99	99	
LQ0035	佛說恒水經	HUNZ0608	1	1	99	99	
LQ0038	佛說本相倚致經	HUNZ0609	1	1	99	99	
LQ0039	佛說縁本致經	HUNZ0610	1	1	99	99	
LQ0041	佛說頂生王故事經	HUNZ0611	1	1	99	99	
LQ0042	佛說文陀竭王經	HUNZ0612	1	1	99	99	
LQ0045	佛說閻羅王五天使者經	HUNZ0613	1	1	99	99	
LQ0044	佛說鐵城泥犂經	HUNZ0614	1	1	99	99	
LQ0046	佛說古來丗時經	HUNZ0615	1	1	99	99	
LQ0047	佛說阿那律八念經	HUNZ0616	1	1	99	99	
LQ0049	佛說離睡經	HUNZ0617	1	1	99	99	
LQ0050	佛說是法非法經	HUNZ0618	1	1	99	99	
LQ0051	佛說求欲經	HUNZ0619	1	1	99	99	
LQ0052	佛說受歳經	HUNZ0620	1	1	99	99	
LQ0053	佛說梵志計水淨經	HUNZ0621	1	1	99	99	
LQ0055	佛說苦陰經	HUNZ0622	1	1	99	99	
LQ0056	佛說釋摩男本經	HUNZ0623	1	1	99	99	
LQ0057	佛說苦陰因事經	HUNZ0624	1	1	99	99	
LQ0058	佛說樂想經	HUNZ0625	1	1	99	99	
LQ0059	佛說漏分布經	HUNZ0626	1	1	99	99	
LQ0060	佛說阿耨颰經	HUNZ0627	1	1	99	99	
LQ0061	佛說諸法本經	HUNZ0628	1	1	99	99	
LQ0062	佛說瞿曇彌記果經	HUNZ0629	1	1	99	99	
LQ0065	佛說瞻婆比丘經	HUNZ0630	1	1	99	99	
LQ0067	佛說伏婬經	HUNZ0631	1	1	99	99	
LQ0068	佛說魔嬈亂經	HUNZ0632	1	1	99	99	
LQ0069	佛說弊魔試目連經	HUNZ0633	1	1	99	99	
LQ0070	佛說賴吒和羅經	HUNZ0634	1	1	99	99	
LQ0019	佛說善生子經	HUNZ0635	1	1	99	99	
LQ0072	佛說數經	HUNZ0636	1	1	99	99	
LQ0073	佛說梵志頞波羅延問種尊經	HUNZ0637	1	1	99	99	
LQ0074	三歸五戒慈心眼猒離功德經	HUNZ0638	1	1	99	99	
LQ0075	佛說須達經	HUNZ0639	1	1	99	99	
LQ0077	佛為黃竹園老婆羅門說學經	HUNZ0640	1	1	99	99	
LQ0078	佛說梵魔喻經	HUNZ0641	1	1	99	99	
LQ0080	佛說尊上經	HUNZ0642	1	1	99	99	
LQ0082	佛說鸚鵡經	HUNZ0643	1	1	99	99	
LQ0081	佛說兜調經	HUNZ0644	1	1	99	99	
LQ0086	佛說意經	HUNZ0645	1	1	99	99	
LQ0087	佛說應法經	HUNZ0646	1	1	99	99	
LQ0091	泥棃經	HUNZ0647	1	1	99	99	
LQ0093	優婆夷墮捨迦經	HUNZ0648	1	1	99	99	
LQ0092	佛說齋經	HUNZ0649	1	1	99	99	
LQ0095	佛說鞞摩肅經	HUNZ0650	1	1	99	99	
LQ0096	佛說婆羅門子命終愛念不離經	HUNZ0651	1	1	99	99	
LQ0097	佛說十支居士八城人經	HUNZ0652	1	1	99	99	
LQ0098	佛說邪見經	HUNZ0653	1	1	99	99	
LQ0099	佛說箭喻經	HUNZ0654	1	1	99	99	
LQ0101	佛說普法義經	HUNZ0655	1	1	99		
LQ0100	佛說廣義法門經	HUNZ0656	1	1	99	99	
LQ0135	佛說戒德香經	HUNZ0657	1	1	99	99	
LQ0148	佛說四人出現丗間經	HUNZ0658	1	1	99	99	
LQ0143	佛說波斯匿王太后崩塵土坌身經	HUNZ0659	1	1	99	99	
LQ0151	須摩提女經	HUNZ0660	1	1	99	99	
LQ0154	佛說婆羅門避死經	HUNZ0661	1	1	99	99	
LQ0155-1	食施護五福報經 亦名佛說施色力經	HUNZ0662	1	1	99	99	
LQ0157	頻婆娑羅王詣佛供養經	HUNZ0663	1	1	99	99	
LQ0159	佛說長者子六過出家經	HUNZ0664	1	1	99	99	
LQ0137	佛說鴦崛摩經	HUNZ0665	1	1	99	99	
LQ0161	佛說力士移山經	HUNZ0666	1	1	99	99	
LQ0162	佛說四未曾有法經	HUNZ0667	1	1	99	99	
LQ0163	佛說舍利弗目犍連遊四衢經	HUNZ0668	1	1	99	99	
LQ0138	鴦崛髻經	HUNZ0669	1	1	99	99	
LQ0002	七佛父母姓字經	HUNZ0670	1	1	99	99	
LQ0164	佛說放牛經	HUNZ0671	1	1	99	99	
LQ0118	緣起經	HUNZ0672	1	1	99	99	
LQ0166	佛說十一想思念如來經	HUNZ0673	1	1	99	99	
LQ0167	佛說四泥犂經	HUNZ0674	1	1	99	99	
LQ0168	阿那邠邸化七子經	HUNZ0675	1	1	99	99	
LQ0172	佛說大愛道般涅槃經	HUNZ0676	1	1	99	99	
LQ0173	佛母般泥洹經	HUNZ0677	1	1	99	99	
LQ0174	舎衛國王夢見十事經	HUNZ0678	1	1	99	99	
LQ0176	佛說國王不黎先尼十夢經	HUNZ0679	1	1	99	99	
LQ0158	阿難同學經 	HUNZ0680	1	1	99	99	
LQ0105	五蘊皆空經	HUNZ0681	1	1	99	99	
LQ0106	佛說七處三觀經	HUNZ0682	2	2	99	99	
LQ0108	佛說聖法印經	HUNZ0683	1	1	99	99	
LQ0102	雜阿含經	HUNZ0684	1	1	99	99	
LQ0111	五陰譬喻經	HUNZ0685	1	1	100	100	
LQ0112	佛說水抹所飄經	HUNZ0686	1	1	100	100	
LQ0114	佛說不自守意經	HUNZ0687	1	1	100	100	
LQ0119	佛說滿願子經	HUNZ0688	1	1	100	100	
LQ0121	轉法輪經	HUNZ0689	1	1	100	100	
LQ0122	佛說三轉法輪經	HUNZ0690	1	1	100	100	
LQ0130	佛說八正道經	HUNZ0691	1	1	100	100	
LQ0132	佛說馬有三相經	HUNZ0692	1	1	100	100	
LQ0133	佛說馬有八態譬人經	HUNZ0693	1	1	100	100	
LQ0124	佛說相應相可經	HUNZ0694	1	1	100	100	
LQ0131	難提釋經	HUNZ0695	1	1	100	100	
LQ0520	治禪病秘要經	HUNZ0696	2	2	100	100	
LQ0502	摩鄧女經	HUNZ0697	1	1	100	100	
LQ0503	摩登女解形中六事經	HUNZ0698	1	1	100	100	
LQ1341	摩登伽經	HUNZ0699	3	3	100	100	
LQ1342	舎頭諫經	HUNZ0700	1	1	100	100	
LQ0553	鬼問目連經	HUNZ0701	1	1	100	100	
LQ0552	雜藏經	HUNZ0702	1	1	100	100	
LQ0544	餓鬼報應經	HUNZ0703	1	1	100	100	
LQ0467	阿難問事佛吉凶經	HUNZ0704	1	1	100	100	
LQ0468	慢法經	HUNZ0705	1	1	100	100	
LQ0469	阿難分別經	HUNZ0706	1	1	100	100	
LQ0506	五母子經	HUNZ0707	1	1	100	100	
LQ0507	沙彌羅經	HUNZ0708	1	1	100	100	
LQ0170	玉耶經	HUNZ0709	1	1	100	100	
LQ0169	玉耶女經	HUNZ0710	1	1	100	100	
LQ0171	阿速達經	HUNZ0711	1	1	100	100	
LQ0181	修行本起經	HUNZ0712	2	2	100	100	
LQ0182	太子本起瑞應經	HUNZ0713	2	2	100	100	
LQ0180	過去現在因果經	HUNZ0714	4	4	100	100	
LQ0504	佛說柰女耆域因緣經	HUNZ0715	1	1	100	100	
LQ0544	佛說罪業報應教化地獄經	HUNZ0716	1	1	100	100	
LQ0517	佛說龍王兄弟經	HUNZ0717	1	1	100	100	
LQ0493	長者音悅經	HUNZ0718	1	1	100	100	
LQ0505	佛說柰女耆婆經	HUNZ0719	1	1	100	100	
LQ0519	禪秘要法經	HUNZ0720	3	3	100	100	
LQ0508	佛說七女經	HUNZ0721	1	1	100	100	
LQ0513	佛說八師經	HUNZ0722	1	1	100	100	
LQ494	佛說越難經	HUNZ0723	1	1	100	100	
LQ0559	佛說所欲致患經	HUNZ0724	1	1	100	100	
LQ0482	阿闍世王問五逆經	HUNZ0725	1	1	100	100	
LQ0079	蓱沙王五願經	HUNZ0726	1	1	101	101	
LQ0156	琉璃王經	HUNZ0727	1	1	101	101	
LQ0179	生經	HUNZ0728	5	5	101	101	
LQ0192	義足經	HUNZ0729	2	2	101	101	
LQ0542	正法念處經	HUNZ0730	70	70	101	103	
LQ0184	佛本行集經	HUNZ0731	60	60	103	105	
LQ0577	本事經	HUNZ0732	7	7	106	106	
LQ0191	佛說興起行經	HUNZ0733	2	2	106	106	
LQ0083	佛說業報差別經	HUNZ0734	1	1	106	106	
LQ0518	佛說大安般守意經	HUNZ0735	2	2	106	106	
LQ0555	佛說罵意經	HUNZ0736	1	1	106	106	
LQ0523	禪行法想經	HUNZ0737	1	1	106	106	
LQ0550	佛說處處經	HUNZ0738	1	1	106	106	
LQ0549	佛說分別善惡所起經	HUNZ0739	1	1	106	106	
LQ0581	佛說出家緣經	HUNZ0740	1	1	106	106	
LQ0178	佛說阿含正行經	HUNZ0741	1	1	106	106	
LQ0551	佛說十八泥犁經	HUNZ0742	1	1	106	106	
LQ0582	佛說法受塵經	HUNZ0743	1	1	106	106	
LQ0492	須摩提長者經	HUNZ0744	1	1	106	106	
LQ0490	長者子懊惱三處經	HUNZ0745	1	1	106	106	
LQ0480	揵陀國王經	HUNZ0746	1	1	106	106	
LQ0470	阿難四事經	HUNZ0747	1	1	106	106	
LQ0560	分別經	HUNZ0748	1	1	106	106	
LQ0481	未生怨經	HUNZ0749	1	1	106	106	
LQ0557	四願經	HUNZ0750	1	1	106	106	
LQ0208	猘狗經	HUNZ0751	1	1	106	106	
LQ0094	八關齋經	HUNZ0752	1	1	106	106	
LQ0537	孝子經	HUNZ0753	1	1	106	106	
LQ0512	黑氏梵志經	HUNZ0754	1	1	106	106	
LQ0491	阿鳩留經	HUNZ0755	1	1	106	106	
	佛為阿支羅迦葉自化作苦經	HUNZ0756	1	1	106	106	
LQ0521	陰持入經	HUNZ0757	2	2	106	106	
LQ0477	佛為年少比丘說正事經	HUNZ0758	1	1	106	106	
LQ0476	佛說沙曷比丘功德經	HUNZ0759	1	1	106	106	
LQ0584	佛說時非時經	HUNZ0760	1	1	106	106	
LQ0563	佛說自愛經	HUNZ0761	1	1	106	106	
LQ0564	佛說中心經	HUNZ0762	1	1	106	106	
LQ0479	佛說見正經	HUNZ0763	1	1	106	106	
LQ0209	佛說大魚事經	HUNZ0764	1	1	106	106	
LQ0471	阿難七夢經	HUNZ0765	1	1	106	106	
LQ0495	佛說呵鵰阿那含經	HUNZ0766	1	1	106	106	
LQ0538	佛說燈指因緣經	HUNZ0767	1	1	106	106	
LQ0509	佛說婦人遇辜經	HUNZ0768	1	1	106	106	
LQ0141	佛說四天王經	HUNZ0769	1	1	106	106	
LQ0473	佛說摩訶迦葉度貧母經	HUNZ0770	1	1	106	106	
LQ0569	佛說十二品生死經	HUNZ0771	1	1	106	106	
LQ0565	佛說輪轉五道罪福報應經	HUNZ0772	1	1	106	106	
LQ0568	佛說五無反復經	HUNZ0773	1	1	106	106	
LQ0497	佛說佛大僧大經	HUNZ0775	1	1	106	106	
	佛說耶祇經	HUNZ0776	1	1	106	106	
LQ0484	佛說末羅王經	HUNZ0777	1	1	106	106	
LQ0486	佛說摩達國王經	HUNZ0778	1	1	106	106	
LQ0485	佛說旃陀越國王經	HUNZ0779	1	1	106	106	
LQ1542	佛說五恐怖世經	HUNZ0780	1	1	106	106	
LQ0590	佛說弟子死復生經	HUNZ0781	1	1	106	106	
LQ0591	佛說懈怠耕者經	HUNZ0782	1	1	106	106	
LQ0683	佛說辯意長者子所問經	HUNZ0783	1	1	106	106	
LQ0510	無垢優婆夷問經	HUNZ0784	1	1	106	106	
LQ0578	佛說賢者五福經	HUNZ0785	1	1	106	106	
LQ0515	天請問經	HUNZ0786	1	1	106	106	
LQ0566	佛說護淨經	HUNZ0787	1	1	106	106	
LQ0593	佛說木槵經	HUNZ0788	1	1	106	106	
LQ0147	佛說無上處經	HUNZ0789	1	1	106	106	
LQ0567	佛說因緣僧護經	HUNZ0790	1	1	106	106	
LQ0489	佛說五王經	HUNZ0791	1	1	106	106	
LQ0539	佛說出家功德經	HUNZ0792	1	1	106	106	
LQ0588	佛說栴檀樹經	HUNZ0793	1	1	106	106	
LQ0561	佛說頞多和多耆經	HUNZ0794	1	1	106	106	
LQ0488	佛說普達王經	HUNZ0795	1	1	106	106	
LQ0427	佛滅度後棺斂葬送經	HUNZ0796	1	1	106	106	
LQ1303	佛說鬼子母經	HUNZ0797	1	1	106	106	
LQ0487	佛說梵摩難國王經	HUNZ0798	1	1	106	106	
LQ0054	佛說孫多耶致經	HUNZ0799	1	1	106	106	
LQ0536	佛說父母恩難報經	HUNZ0800	1	1	106	106	
LQ0063	佛說新歲經	HUNZ0801	1	1	106	106	
LQ01456	佛說羣牛譬經	HUNZ0802	1	1	106	106	
LQ0107	佛說九橫經	HUNZ0803	1	1	106	106	
LQ0522	佛說禪行三十七品經	HUNZ0804	1	1	106	106	
LQ0478	比丘避女惡名欲自殺經	HUNZ0805	1	1	106	106	
	佛說身觀經	HUNZ0806	1	1	106	106	
LQ0129	佛說無常經	HUNZ0807	1	1	106	106	
LQ0066	佛說八無暇有暇經	HUNZ0808	1	1	106	106	
LQ0514	長爪梵志請問經	HUNZ0809	1	1	106	106	
LQ0210	佛說譬喻經	HUNZ0810	1	1	106	106	
LQ0113	佛說比丘聽施經	HUNZ0811	1	1	106	106	
LQ0587	佛說略教誡經	HUNZ0812	1	1	106	106	
LQ1373	佛說療痔病經	HUNZ0813	1	1	106	106	
LQ1486	摩訶僧祇律	HUNZ0814	40	40	106	108	
LQ1496-1	十誦律	HUNZ0815	58	58	108	111	
LQ1496-2	十誦律毗尼序	HUNZ0816	3	3	111	111	
LQ1503	根本說一切有部毗柰耶	HUNZ0817	50	50	111	113	
LQ1504	根本說一切有部苾芻尼毗柰耶	HUNZ0818	20	20	113	114	
LQ1512	根本說一切有部毗柰耶雜事	HUNZ0819	40	40	114	115	
LQ1513-1	根本說一切有部尼陀那	HUNZ0820	10	10	115	116	
LQ1482	彌沙塞部五分律	HUNZ0821	30	30	116	117	
LQ1489	四分律藏	HUNZ0822	60	60	117	120	
LQ1487	波羅提木叉僧祗戒本	HUNZ0823	1	1	120	120	
LQ1488-2	比丘尼僧祗律波羅提木叉戒經	HUNZ0824	1	1	120	120	
LQ1497-1	十誦律比丘戒本	HUNZ0825	1	1	120	120	
LQ1498-1	十誦律比丘尼戒本	HUNZ0826	1	1	120	120	
LQ1515	根本說一切有部戒經	HUNZ0827	1	1	120	120	
LQ1516	根本說一切有部苾芻尼戒經	HUNZ0828	1	1	120	120	
LQ1484	五分比丘尼戒本	HUNZ0829	1	1	120	120	
LQ1490	四分比丘戒本	HUNZ0830	1	1	120	120	
LQ1491	四分僧戒本	HUNZ0831	1	1	120	120	
LQ1521	解脫戒本經	HUNZ0832	1	1	120	120	
LQ1492-2	四分比丘尼戒本	HUNZ0833	1	1	120	120	
LQ1499	根本說一切有部百一羯磨	HUNZ0834	10	10	121	121	
LQ1485	彌沙塞羯磨本	HUNZ0835	1	1	121	121	封頁名為“聖善住天子所問經”
LQ1527	優婆離問經	HUNZ0836	1	1	121	121	
LQ1493	曇無德律部雜羯磨	HUNZ0837	1	1	121	121	
LQ1494	羯磨	HUNZ0838	1	1	121	121	二经同卷一
LQ1495	四分比丘尼羯磨法	HUNZ0839	1	1	121	121	二经同卷二
LQ2368-2	四分律刪補隨機羯磨	HUNZ0840	2	2	121	121	
	四分僧羯磨	HUNZ0841	3	3	121	121	
	四分尼羯磨	HUNZ0842	3	3	121	121	序
LQ1537	佛說優婆塞五戒相經	HUNZ0843	1	1	121	121	
LQ1520	根本說一切有部毗奈耶頌	HUNZ0844	3	3	122	122	
LQ1518	根本說一切有部毗奈耶雜事攝頌	HUNZ0845	1	1	122	122	貳经同卷一
LQ1519	根本薩婆多部律攝	HUNZ0846	14	14	122	122	貳经同卷二
LQ1502	薩婆多部毗尼摩得勒伽	HUNZ0847	10	10	122	123	
LQ1525	戒因緣經	HUNZ0848	10	10	123	123	
LQ1523	善見毗婆沙律	HUNZ0849	18	18	123	124	
LQ1543	佛阿毗曇經	HUNZ0850	2	2	124	124	
LQ1501	薩婆多毗尼毗婆沙	HUNZ0851	9	9	124	124	
LQ1522	律二十二明了論	HUNZ0852	1	1	124	124	
LQ1613	阿毗曇八犍度論	HUNZ0853	30	30	125	125	
LQ1612	阿毘達磨發智論	HUNZ0854	20	20	126	126	
LQ1606	阿毗達磨法藴足論	HUNZ0855	12	12	126	126	
LQ1605	阿毗達磨集異門足論	HUNZ0856	20	20	126	127	
LQ1608	阿毗達磨識身足論	HUNZ0857	16	16	127	127	
LQ1609	阿毗達磨界身足論	HUNZ0858	3	3	128	128	
LQ1610	阿毗達摩品類足論	HUNZ0859	18	18	128	128	
LQ1611	衆事分阿毗曇論	HUNZ0860	12	12	129	129	
LQ1615	阿毗曇毗婆沙論	HUNZ0861	82	82	129	131	
LQ1614	阿毗達磨大毗婆沙論	HUNZ0862	200	200	131	138	
LQ1628	阿毗達磨俱舍釋論	HUNZ0863	22	22	138	139	
LQ1627	阿毗達磨俱舍論	HUNZ0864	30	30	139	140	
LQ1631	阿毗達磨順正理論	HUNZ0865	80	80	140	143	
LQ1632	阿毗達磨藏顯宗論	HUNZ0866	40	40	143	144	
LQ1619	阿毗曇心論	HUNZ0867	4	4	144	144	
LQ1620	法勝阿毗曇心論	HUNZ0868	6	6	144	144	
LQ1621	雜阿毗曇心論	HUNZ0869	11	11	145	145	
LQ1622	阿毗曇甘露味論	HUNZ0870	2	2	145	145	
LQ1700	隨相論	HUNZ0871	2	2	145	145	
LQ1618	尊婆須密菩薩所集論	HUNZ0872	10	10	145	146	
LQ1572	三法度論	HUNZ0873	3	3	146	146	
LQ1623	入阿毗逹磨論	HUNZ0874	2	2	146	146	
LQ1705	成實論	HUNZ0875	20	20	147	147	
LQ1703	立世阿毘曇論	HUNZ0876	10	10	147	147	
LQ1707	解脫道論	HUNZ0877	12	12	147	148	
LQ1617	舍利弗阿毘曇論	HUNZ0878	20	20	148	149	
LQ1624	五事毘婆沙論	HUNZ0879	2	2	149	149	
LQ1616	鞞婆沙論	HUNZ0880	14	14	149	149	
