龍泉編碼	高麗編碼	實體經名	卷序号	實際卷數	卷序号	起始册碼	終止冊碼	備註	
LQ0037	GL0867	佛說海八德經	1	1	1	38	38		
LQ0517	GL0868	龍王兄弟經	1	1	1	38	38		
LQ0544	GL0869	佛說罪業應報教化地獄經	1	1	1	38	38		
LQ0504	GL0870	佛說捺女祗域因緣經	1	1	1	38	38		
LQ0036	GL0871	法海經	1	1	1	38	38		
LQ0508	GL0872	佛說七女經	1	1	1	38	38		
LQ0079	GL0873	佛說蓱沙王五願經	1	1	1	38	38		
LQ0513	GL0874	佛說八師經	1	1	1	38	38		
LQ0156	GL0875	佛說琉璃王經	1	1	1	38	38		
LQ0559	GL0876	所欲致患經	1	1	1	38	38		
LQ0556	GL0877	佛說堅意經	1	1	1	38	38		
LQ0152	GL0878	佛說三摩竭經	1	1	1	38	38		
LQ0482	GL0879	阿闍世王問五逆經	1	1	1	38	38		
LQ0511	GL0880	佛說貧窮老公經	1	1	1	38	38		
LQ0580	GL0881	得道梯橙錫杖經	1	1	1	38	38		
LQ0494	GL0882	佛說越難經	1	1	1	38	38		
LQ0586	GL0883	佛說進學經	1	1	1	38	38		
LQ0483	GL0884	佛說淨飯王般涅槃經	1	1	1	38	38		
LQ0562	GL0885	五苦章句經	1	1	1	38	38		
LQ0519	GL0886	禪祕要法經	3	3	3	38	38		
LQ0179	GL0887	生經	5	5	5	38	38		
LQ0192	GL0888	佛說義足經	2	2	2	38	38		
LQ1487	GL0889	摩訶僧祗律	40	40	40	39	39		
LQ1496-1	GL0890	十誦律	61	61	61	39	40		
LQ1503	GL0891	根本說一切有部毘奈耶	50	50	50	40	41		
LQ1504	GL0892	根本說一切有部芯芻尼毘奈耶	20	20	20	41	41		
LQ1512	GL0893	根本說一切有部毘奈耶雜事	40	40	40	41	41		
LQ1513-2	GL0894	根本說一切有部尼陀那目得迦	10	10	10	41	41		
LQ1482	GL0895	五分律	30	30	30	42	42		
LQ1489	GL0896	四分律	60	60	60	42	43		
LQ1516	GL0897	根本說一切有部苾芻尼戒經	1	1	1	43	43		
LQ1515	GL0898	根本說一切有部戒經	1	1	1	43	43		
LQ1498-1	GL0899	十誦比丘尼波羅提木叉戒本	1	1	1	43	43		
LQ1488-2	GL0900	摩訶僧祗比丘尼戒本	1	1	1	43	43		
LQ1483	GL0901	彌沙塞五分戒本	1	1	1	43	43		
LQ1497-1	GL0902	十誦比丘波羅提木叉戒本	1	1	1	43	43		
LQ1488-1	GL0903	摩訶僧祗律大比丘戒本	1	1	1	43	43		
LQ1491	GL0904	四分僧戒本	1	1	1	43	43		
LQ1485	GL0905	五分比丘尼戒本	1	1	1	43	43		
LQ1532	GL0906	沙彌十戒法幷威儀	1	1	1	43	43		
LQ1526	GL0907	舍利佛問經	1	1	1	43	43		
LQ1492-1	GL0908	四分尼戒本	1	1	1	43	43		
LQ1490	GL0909	四分比丘戒本	1	1	1	43	43		
LQ1521	GL0910	解脫戒經	1	1	1	43	43		
LQ1533	GL0911	沙彌威儀	1	1	1	43	43		
LQ1536	GL0912	沙彌尼離戒文	1	1	1	43	43		
LQ1535	GL0913	沙彌尼戒經	1	1	1	43	43		
LQ1514	GL0914	根本說一切有部百一羯磨	10	10	10	43	43		
LQ1494	GL0915	羯磨	1	1	1	43	43		
LQ1486	GL0916	彌沙塞羯磨本	1	1	1	43	43		
LQ1499	GL0917	大沙門百一羯磨法	1	1	1	43	43		
LQ1493	GL0918	曇無德律部雜羯磨	1	1	1	43	43		
LQ1495	GL0919	四分比丘尼羯磨法	1	1	1	43	43		
LQ1500	GL0920	十誦羯磨比丘要用	1	1	1	43	43		
LQ1527	GL0921	優波離問佛經	1	1	1	43	43		
LQ2368-1	GL0922	曇無德部四分律刪補隨機羯磨	2	2	2	43	43		
LQ2376	GL0923	僧羯磨	3	3	3	43	43		
LQ2377	GL0924	尼羯磨	3	3	3	43	43		
LQ1520	GL0925	根本說一切有部毘奈耶頌	3	3	3	43	43		
LQ1539	GL0926	大愛道比丘尼經	2	2	2	43	43		
LQ1517	GL0927	根本說一切有部毘奈耶尼陀那目得迦攝頌	1	1	1	43	43		
LQ1518	GL0928	根本說一切有部略毘奈耶雜事攝頌	1	1	1	43	43		
LQ1544-1	GL0929	目連問戒律中五百輕重事	1	1	1	43	43		
LQ1537	GL0930	優婆塞五戒相經	1	1	1	43	43		
LQ1530	GL0931	迦葉禁戒經	1	1	1	43	43		
LQ1529-1	GL0932	犯戒罪報輕重經	1	1	1	43	43		
LQ1538	GL0933	戒消災經	1	1	1	43	43		
LQ1519	GL0934	根本薩婆多部律攝	14	14	14	44	44		
LQ1502	GL0935	薩婆多部毘尼摩得勒伽	10	10	10	44	44		
LQ1525	GL0936	鼻奈耶	10	10	10	44	44		
LQ1523	GL0937	善見律毘婆沙	18	18	18	44	44		
LQ1543	GL0938	佛阿毘曇經出家相品第一	2	2	2	44	44		
LQ1524	GL0939	毘尼母經	8	8	8	44	44		
LQ1531	GL0940	大比丘三千威儀	2	2	2	44	44		
LQ1501	GL0941	薩婆多毘尼毘婆娑	9	9	9	44	44		
LQ1522	GL0942	律二十二明了論	1	1	1	44	44		
LQ1613	GL0943	阿毘曇八犍度論	30	30	30	45	45		
LQ1612	GL0944	阿毘達磨發智論	20	20	20	45	45	卷首為前後經名不一致	
LQ1606	GL0945	阿毘達磨法薀足論	12	12	12	45	45		
LQ1605	GL0946	阿毘達磨集異門足論	20	20	20	45	45		
LQ1608	GL0947	阿毘達磨識身足論	16	16	16	45	45		
LQ1610	GL0948	阿毘達磨品類足論	18	18	18	46	46		
LQ1611	GL0949	衆事分阿毘曇論	12	12	12	46	46		
LQ1615	GL0950	阿毘曇毘婆沙論	60	60	60	46	47		
LQ1614	GL0951	阿毘達磨大毘婆沙論	200	200	200	47	49		
LQ1628	GL0952	阿毘達磨倶舍釋論	22	22	22	49	49		
LQ1629	GL0953	阿毘達磨倶舍論本頌	1	1	1	49	49		
LQ1627	GL0954	阿毘達磨倶舍論	30	30	30	49	49		
LQ1631	GL0955	阿毘達磨順正理論	80	80	80	50	50		
LQ1632	GL0956	阿毗逹磨藏願宗論	40	40	40	50	51		
LQ1620	GL0957	阿毗曇心論經	6	6	6	51	51		
LQ1619	GL0958	阿毗曇心論	4	4	4	51	51		
LQ1621	GL0959	雜阿毗曇心論	11	11	11	51	51		
LQ1622	GL0960	阿毗曇甘露味論	16	16	16	51	51		
LQ1700	GL0961	隨相論	1	1	1	51	51		
LQ1618	GL0962	尊婆須密菩薩所集論	10	10	10	51	51		
LQ1623	GL0963	入阿毗達磨論	2	2	2	51	51		
LQ1572	GL0964	三法度論	3	3	3	51	51		
LQ1705	GL0965	成實論	16	16	16	52	52		
LQ1703	GL0966	佛說立世阿毗曇論	10	10	10	52	52		
LQ1707	GL0967	解脫道論	12	12	12	52	52		
LQ1617	GL0968	舍利弗阿毗雲論	30	30	30	52	52		
LQ1624	GL0969	五事毗婆沙論	2	2	2	52	52		
LQ1616	GL0970	鞞婆沙論	14	14	14	52	53		
LQ1708	GL0971	三彌底部論	3	3	3	53	53		
LQ1574	GL0972	分别功德論	5	5	5	53	53		
LQ1706	GL0973	四諦論	4	4	4	53	53		
LQ3606	GL0974	部執異論	1	1	1	53	53		
LQ3605	GL0975	十八部論	1	1	1	53	53		
LQ3604	GL0976	異部宗數論	1	1	1	53	53		
LQ1709	GL0977	辟支佛因緣論	2	2	2	53	53		
LQ0187	GL0978	佛本行經	7	7	7	53	53		
LQ0186	GL0979	佛所行贊經	5	5	5	53	53		
LQ0194	GL0980	撰集百緣經	10	10	10	53	53		
LQ0206	GL0981	出曜經	30	30	30	53	53		
LQ0196	GL0982	賢愚經	13	13	13	53	53		
LQ0533	GL0983	修行道地經	7	7	7	54	54		
LQ0188	GL0984	僧伽羅刹所集經	3	3	3	54	54		
LQ0534	GL0985	道地經	1	1	1	54	54		
LQ0203	GL0986	百喩經	4	4	4	54	54		
LQ0213	GL0987	菩薩本緣經	3	3	3	54	54		
LQ0862	GL0988	大乘修行菩薩行門諸經要集	3	3	3	54	54		
LQ3652	GL0989	付法藏因緣傳	6	6	6	54	54		
LQ0525	GL0990	坐禪三昧經	2	2	2	54	54		
LQ0573	GL0991	惟日雜難經	1	1	1	54	54		
LQ3601	GL0992	佛使比丘迦旃延說法沒盡偈	1	1	1	54	54		
LQ0428	GL0993	迦葉赴佛般涅槃經	1	1	1	54	54		
LQ0813	GL0994	四品學法經	1	1	1	54	54		
LQ0529	GL0995	菩薩訶色欲法經	1	1	1	54	54		
LQ0429	GL0996	佛入涅槃密迹金剛力士哀戀經	1	1	1	54	54		
LQ0583	GL0997	佛說佛醫經	1	1	1	54	54		
LQ0177	GL0998	佛說治意經	1	1	1	54	54		
LQ0585	GL0999	佛治身經	1	1	1	54	54		
LQ0197	GL1000	雜寶藏經	10	10	10	54	54		
LQ1740-1	GL1001	那先比丘經	2	2	2	54	54		
LQ0530	GL1002	達摩多羅禪經	2	2	2	54	54		
LQ0526	GL1003	禪法要解	2	2	2	54	54		
LQ0200	GL1004	舊雜譬喩經	2	2	2	54	54		
LQ0524	GL1005	五門禪經要用法	1	1	1	54	54		
LQ0198	GL1006	雜譬喩經	1	1	1	54	54		後漢 支婁迦讖譯
LQ0532	GL1007	法觀經	1	1	1	54	54		
LQ0189	GL1008	佛說十二遊經	1	1	1	54	54		
LQ0528	GL1009	思惟略要法	1	1	1	54	54		
LQ0531	GL1010	內身觀章句經	1	1	1	54	54		
LQ0527	GL1011	禪要經	1	1	1	54	54		
LQ3629	GL1012	阿育王經	10	10	10	54	54		
LQ0199	GL1013	雜譬喩經	2	2	2	54	54		失譯附後漢錄
LQ3630	GL1014	天尊說阿育王譬喩經	1	1	1	54	54		
LQ0201	GL1015	雜譬喩經	1	1	1	54	54		道略集、姚秦鳩摩羅什譯
LQ3628	GL1016	阿育王傳	7	7	7	54	54		
LQ3631	GL1017	阿育王太子法益壞目因緣經	1	1	1	54	54		
LQ1573	GL1018	四阿含暮抄解	2	2	2	54	54		
LQ0205	GL1019	法句譬喩經	4	4	4	54	54		
LQ0204	GL1020	法句經	2	2	2	54	54		尊者法救撰、吳維祇難等譯
LQ3598	GL1021	撰集三藏及雜藏傳	1	1	1	55	55		
LQ1575	GL1022	阿含口解十二因緣經	1	1	1	55	55		
LQ1750	GL1023	一百五十讚佛頌	1	1	1	55	55		
LQ0810	GL1024	三慧經	1	1	1	55	55		
LQ1626	GL1025	阿毘曇五法行經	1	1	1	55	55		
LQ3599	GL1026	迦葉結經	1	1	1	55	55		
LQ0535	GL1027	小道地經	1	1	1	55	55		
LQ0329	GL1028	文殊師利發願經	1	1	1	55	55		
LQ0618	GL1029	六菩薩亦當誦持經	1	1	1	55	55		
LQ1074	GL1030	讚觀世音菩薩頌	1	1	1	55	55		
LQ3901	GL1031	金七十論	3	3	3	55	55		
LQ0541	GL1032	無明羅刹集	3	3	3	55	55		
LQ3600	GL1033	迦丁比丘說當來變經	1	1	1	55	55		
LQ3632	GL1034	馬鳴菩薩傳	1	1	1	55	55		
LQ1744	GL1035	龍樹菩薩勸誡王頌	1	1	1	55	55		
LQ1743	GL1036	勸發諸王要偈	1	1	1	55	55		
LQ3635	GL1037	婆藪槃豆法師傳	1	1	1	55	55		
LQ1760	GL1038	賓頭盧突羅闍爲優陀延王說法經	1	1	1	55	55		
LQ3634	GL1039	提婆菩薩傳	1	1	1	55	55		
LQ3633-1	GL1040	龍樹菩薩傳	1	1	1	55	55		
LQ1759	GL1041	請賓頭盧法	1	1	1	55	55		
LQ1742	GL1042	龍樹菩薩爲禪陀迦王說法要偈	1	1	1	55	55		
LQ0543	GL1043	分別業報略經	1	1	1	55	55		
LQ3902	GL1044	勝宗十句義論	1	1	1	55	55		
LQ3602	GL1045	大阿羅漢難提蜜多羅所說法住記	1	1	1	55	55		
LQ3623	GL1046	釋迦譜	5	5	5	55	55		
LQ3778	GL1047	釋迦方志	2	2	2	55	55		
LQ3624	GL1048	釋迦氏譜	1	1	1	55	55		
LQ3887	GL1049	經律異相	50	50	50	55	55		
LQ1384	GL1050	陀羅尼雜集	10	10	10	55	55	未找到	
LQ3890	GL1051	諸經要集	20	20	20	56	56		
LQ3958	GL1052	出三藏記集	15	15	15	56	56		
LQ3959	GL1053	衆經目錄	7	7	7	56	56		
LQ3607	GL1054	歷代三寶紀	15	15	15	56	56		
LQ3960	GL1055	衆經目錄	5	5	5	56	56	对堪表中，此经重名，无法确定	
LQ3962	GL1056	大唐內典錄	10	10	10	56	57		
LQ3965	GL1057	大周刊定衆經目錄	15	15	15	57	57		
LQ3963	GL1058	古今譯經圖記	4	4	4	57	57		
LQ3964	GL1059	續古今譯經圖記	1	1	1	57	57		
LQ	GL1060	續大唐內典錄	1	1	1	57	57	未找到	
LQ3966	GL1061	開元釋教錄	20	20	20	57	57		
LQ3943-1	GL1062	一切經音義	25	25	25	57	58		
LQ3944-1	GL1063	新譯大方廣佛華嚴經音義	2	2	2	58	58		
LQ3777	GL1064	大唐西域記	12	12	12	58	58		
LQ3801	GL1065	集古今佛道論衡	5	5	5	58	58	卷四续 468-470頁原書缺頁	
LQ3802	GL1066	續集古今佛道論衡	1	1	1	58	58	475-476頁原書缺頁	
LQ3818	GL1067	集沙門不應拜俗等事	6	6	6	58	58		
LQ3803	GL1068	集神州三寶感通錄	3	3	3	58	58		
LQ3804	GL1069	道宣律師感通錄	1	1	1	58	58		
LQ3639	GL1070	大慈恩寺三藏法師傳	10	10	10	58	58		
LQ3661	GL1071	大唐西域求法高僧傳	2	2	2	58	58		
LQ3775	GL1072	高僧法顯傳	1	1	1	58	58		
LQ3653	GL1073	高僧傳	14	14	14	58	59		
LQ3654	GL1074	續高僧傳	30	30	30	59	59		
LQ3820	GL1075	辯正論	8	8	8	59	59		
LQ3819	GL1076	破邪論	2	2	2	59	59		
LQ3822	GL1077	甄正論	3	3	3	59	59		
LQ3821	GL1078	十門辯惑論	3	3	3	59	59		
LQ3799	GL1079	弘明集	14	14	14	59	60		
LQ3800	GL1080	廣弘明集	30	30	30	60	60		
LQ3892	GL1081	南海寄歸內法傳	4	3	4	60	60		
LQ2692	GL1082	受用三水要行法	1	1	1	60	60		
LQ2693	GL1083	說罪要行法	1	1	1	60	60		
LQ2691	GL1084	護命放生軌儀法	1	1	1	60	60		
LQ3671	GL1085	比丘尼傳	4	4	4	60	60		
LQ3842	GL1086	集諸經禮懺儀	2	2	2	60	60		
LQ1072	GL1087	大乘莊嚴寶王經	4	4	4	60	60		
LQ0954	GL1088	大乘聖無量壽決定光明王如來陀羅尼經	1	1	1	60	60		
LQ0288	GL1089	聖佛母小字般若波羅蜜多經	1	1	1	60	60		
LQ0990-1	GL1090	最勝佛頂陀羅尼經	1	1	1	60	60		
LQ1752	GL1091	七佛讚唄伽他	1	1	1	60	60		
LQ0960	GL1092	無能勝幡王如來莊嚴陀羅尼經	1	1	1	60	60		
LQ1202	GL1093	大乘聖吉祥持世陀羅尼經	1	1	1	60	60		
LQ0331	GL1094	大方廣惚持寶光明經	5	5	5	60	60		
LQ1021	GL1095	守護大千國土經	3	3	3	60	60		
LQ1284	GL1096	出生一切如來法眼徧照大力明王經	2	2	2	60	60		
LQ0084	GL1097	分別善惡報應經	2	2	2	60	60		
LQ0641	GL1098	大乘善見變化文殊師利問法經	1	1	1	60	60		
LQ0365	GL1099	大乘日子王所問經	1	1	1	60	60		
LQ0787	GL1100	樓閣正法甘露皷經	1	1	1	60	60		
LQ1070	GL1101	大護明大陀羅尼經	1	1	1	60	60		
LQ0684	GL1102	金耀童子經	1	1	1	60	60		
LQ1438	GL1103	大寒林聖難拏陀羅尼經	1	1	1	60	60		
LQ0572	GL1104	較量壽命經	1	1	1	60	60		
LQ1184	GL1105	聖虛空藏菩薩陀羅尼經	1	1	1	60	60		
LQ1046	GL1106	佛頂放無垢光明入普門觀察一切如來心陀羅尼經	2	2	2	60	60		
LQ1400	GL1107	聖最上燈明如來陀羅尼經	1	1	1	60	60		
LQ1448	GL1108	消除一切閃電障難隨求如意陀羅尼經	1	1	1	60	60		
LQ1274	GL1109	無能勝大明王陀羅尼經	1	1	1	60	60		
LQ0516	GL1110	嗟韈曩法天子受三歸依獲免惡道經	1	1	1	60	60		
LQ0571	GL1111	諸行有爲經	1	1	1	60	60		
LQ1043	GL1112	一切如來正法祕密篋印心陀羅尼經	1	1	1	60	60		
LQ1169	GL1113	息除中夭陀羅尼經	1	1	1	60	60		
LQ1745	GL1114	讚法界頌	1	1	1	60	60		
LQ0804	GL1115	妙法聖念處經	8	8	8	61	61		
LQ0545	GL1116	佛説六道伽陀經	1	1	1	61	61		
LQ1762	GL1117	勝軍化世百喻伽他經	1	1	1	61	61		
LQ0207	GL1118	法集要頌經	4	4	4	61	61		
LQ1139	GL1119	贊揚聖德多羅菩薩一百八名經	1	1	1	61	61		
LQ1732	GL1120	菩提行經	4	4	4	61	61		
LQ1076	GL1121	聖觀自在菩薩一百八名經	1	1	1	61	61		
LQ0382	GL1122	佛説大迦葉問大寶積正法經	5	5	5	61	61		
LQ0576	GL1123	佛説法集名數經	1	1	1	61	61		
LQ1203	GL1124	聖持世陀羅尼經	1	1	1	61	61		
LQ1534	GL1125	佛説沙彌十戒儀則經	1	1	1	61	61		
LQ0540	GL1126	十二緣生祥瑞經	2	2	2	61	61		
LQ0861	GL1127	外道問聖大乘法無我義經	1	1	1	61	61		
LQ1541	GL1128	佛説苾芻迦尸迦十法經	1	1	1	61	61		
LQ1276	GL1129	無能勝大明心陀羅尼經	1	1	1	61	61		
LQ1138	GL1130	聖多羅菩薩一百八名陀羅尼經	1	1	1	61	61		
LQ1701	GL1131	金剛針論	1	1	1	61	61		
LQ1528	GL1132	佛説目連所問經	1	1	1	61	61		
LQ0935	GL1133	諸佛心印陀羅尼經	1	1	1	61	61		
LQ1540	GL1134	佛説苾芻五法經	1	1	1	61	61		
LQ1275	GL1135	無能勝大明陀羅尼經	1	1	1	61	61		
LQ1147	GL1136	毗俱胝菩薩一百八名經	1	1	1	61	61		
LQ1219	GL1137	大方廣菩薩藏文殊師利根本儀軌經	20	20	20	61	61		
LQ0289	GL1138	佛説觀想佛母般若波羅蜜多菩薩經	1	1	1	61	61		
LQ0720	GL1139	佛為娑伽羅龍王所説大乘經	1	1	1	61	61		宋施護譯
LQ0818	GL1140	佛説十號經	1	1	1	61	61		
LQ1458	GL1141	佛説寶生陀羅尼經	1	1	1	61	61		
LQ1457	GL1142	佛説蓮花眼陀羅尼經	1	1	1	61	61		
LQ1447	GL1143	佛説大金剛香陀羅尼經	1	1	1	61	61		
LQ0604	GL1144	大乘寶月童子問法經	1	1	1	61	61		
LQ1464	GL1145	佛説一切如來安像三昧儀軌經	1	1	1	61	61		
LQ0716	GL1146	佛説大自在天子因地經	1	1	1	61	61		
LQ1149	GL1147	廣大蓮華莊嚴曼拏羅滅一切罪陀羅尼經	1	1	1	61	61		
LQ1449	GL1148	佛説如意摩尼陀羅尼經	1	1	1	61	61		
LQ1461	GL1149	大金剛妙高山樓閣陀羅尼	1	1	1	61	61		
LQ1160	GL1150	佛説普賢菩薩陀羅尼經	1	1	1	61	61	目錄提供的譯者是：宋法天譯	
LQ0913	GL1151	妙臂菩薩所問經	4	4	4	61	61		
LQ1324	GL1152	佛説寶藏神大明曼拏羅儀軌經	2	2	2	61	61		
LQ1325	GL1153	佛説聖寶藏神儀軌經	2	2	2	61	61	314空白页	
LQ0907	GL1154	一切如來大秘密王未曾有最上微妙大曼拏羅經	5	5	5	61	61		
LQ1298	GL1155	佛説大摩里支菩薩經	7	7	7	61	61		
LQ1277	GL1156	聖無能勝金剛火陀羅尼經	1	1	1	61	61		
LQ1423	GL1157	佛說聖莊嚴陀羅尼經	2	2	2	61	61		
LQ1402	GL1158	佛説花積樓閣陀羅尼經	1	1	1	61	61		
LQ1058	GL1159	千轉大明陀羅尼經	1	1	1	61	61		
LQ1443	GL1160	佛説智光滅一切業障陀羅尼經	1	1	1	61	61		
LQ1456	GL1161	佛說勝幡瓔珞陀羅尼經	1	1	1	61	61		
LQ1756	GL1162	賢聖集伽陀一百頌	1	1	1	61	61		
LQ1418	GL1163	佛說聖大總持王經	1	1	1	61	61		
LQ1459	GL1164	佛說尊勝大明王經	1	1	1	61	61		
LQ1450	GL1165	佛說如意寶總持王經	1	1	1	61	61		
LQ1417	GL1166	佛說持明藏八大總持王經	1	1	1	61	61		
LQ1159	GL1167	佛說普賢曼拏羅經	1	1	1	61	61		
LQ1454	GL1168	佛說最上意陀羅尼經	1	1	1	61	61		
LQ1069	GL1169	佛說聖六字大明王陀羅尼經	1	1	1	61	61		
LQ0980	GL1170	佛說大威德金輪佛頂熾盛光如來消除一切災難陀羅尼經	1	1	1	61	61		
LQ0185	GL1171	佛說衆許摩訶帝經	13	13	13	61	61		
LQ0226	GL1172	佛說月光菩薩經	1	1	1	61	61		
LQ0499	GL1173	佛說金光王童子經	1	1	1	61	61		
LQ1753	GL1174	揵稚梵讚	1	1	1	61	61		
LQ0796	GL1175	佛說布施經	1	1	1	61	61		
LQ0004	GL1176	毘婆尸佛經	2	2	2	61	61		
LQ1237	GL1177	佛說文殊師利一百八名梵讚	1	1	1	61	61		
LQ0021	GL1178	佛說大三摩惹經	1	1	1	61	61		
LQ1344	GL1179	佛說聖曜母陀羅尼經	1	1	1	61	61		
LQ0076	GL1180	佛說長者施報經	1	1	1	61	61		
LQ0003	GL1181	佛說七佛經	1	1	1	61	61		
LQ1749	GL1182	佛一百八名讚	1	1	1	61	61		
LQ0134	GL1183	佛說解憂經	1	1	1	61	61		
LQ1286	GL1184	佛說毘沙門天王經	1	1	1	61	61		
LQ1077	GL1185	佛說聖觀自在菩薩梵讚	1	1	1	61	61		
LQ1140	GL1186	聖多羅菩薩梵讚	1	1	1	61	61		
LQ1455	GL1187	佛說聖最勝陀羅尼經	1	1	1	61	61		
LQ0268	GL1188	佛說徧照般若波羅蜜經	1	1	1	61	61		
LQ0276	GL1189	佛說帝釋般若波羅蜜多心經	1	1	1	61	61		
LQ0797	GL1190	大乘舍黎娑擔摩經	1	1	1	61	61		
LQ0274	GL1191	佛說五十頌聖般若波羅蜜經	1	1	1	61	61		
LQ0149	GL1192	佛說四無所畏經	1	1	1	61	61		
LQ0609	GL1193	佛說諸佛經	1	1	1	61	61		
LQ1564	GL1194	佛說大乘戒經	1	1	1	61	61		
LQ1071	GL1195	聖六字增壽大明陀羅尼經	1	1	1	61	61		
LQ0976	GL1196	一切如來說佛頂輪王一百八名讚	1	1	1	61	61		
LQ1419	GL1197	增慧陀羅尼經	1	1	1	61	61		
LQ0393	GL1198	佛說大乘無量壽莊嚴經	3	3	3	61	61		
LQ0255	GL1199	佛母寶德藏般若波羅蜜經	3	3	3	61	61		
LQ0032	GL1200	佛說薩鉢多酥哩踰捺野經	1	1	1	61	61		
LQ1162	GL1201	佛說金剛手菩薩降伏一切部多大教王經	3	3	3	61	61		
LQ1161	GL1202	最上大乘金剛大教寶王經	2	2	2	61	61		
LQ1000	GL1203	佛說一切如來烏瑟膩沙最勝惚持經	1	1	1	61	61		
LQ1733	GL1204	菩提心觀釋	2	1	2	61	61		
LQ0353	GL1205	佛說護國尊者所問大乘經	4	4	4	61	61		
LQ1209	GL1206	佛說金剛香菩薩大明成就儀軌經	3	3	3	61	61		
LQ1255	GL1207	佛說妙吉祥最勝根本大教經	3	3	3	61	61		
LQ1313	GL1208	金剛薩埵說頻那夜迦天成就儀軌經	4	4	4	61	61		
LQ0909	GL1209	佛說幻化網大瑜伽教十忿怒明王大明觀想儀軌經	1	1	1	61	61		
LQ0644	GL1210	佛說妙吉祥菩薩所問大乘法螺經	1	1	1	61	61		
LQ0617	GL1211	佛說八大菩薩經	1	1	1	61	61		
LQ1208	GL1212	佛说持明藏瑜伽大教尊那菩薩大明成就儀軌經	4	4	4	62	62		
LQ1283	GL1213	佛说妙吉祥瑜伽大教金剛陪囉嚩輪觀想成就儀軌經	1	2	1	62	62		
LQ1206-1	GL1214	佛说大乘八大曼拏羅經	1	1	1	62	62		
LQ1378	GL1215	囉嚩拏說救療小兒疾病經	1	1	1	62	62		
LQ0321	GL1216	佛说較量一切佛刹功德經	1	1	1	62	62		
LQ1353	GL1217	難你計濕嚩囉天說支輪經	1	1	1	62	62		
LQ1761	GL1218	迦葉仙人說醫女人經	1	1	1	62	62		
LQ1431	GL1219	佛說倶枳羅陀羅尼經	1	1	1	62	62		
LQ1432	GL1220	佛說妙色陀羅尼經	1	1	1	62	62		
LQ1433	GL1221	佛說栴檀香身陀羅尼經	1	1	1	62	62		
LQ1430	GL1222	佛說鉢蘭那賖嚩哩大陀羅尼經	1	1	1	62	62		
LQ1429	GL1223	佛說宿命智陀羅尼經	1	1	1	62	62		
LQ1178	GL1224	佛說慈氏菩薩誓願陀羅尼經	1	1	1	62	62		
LQ1445	GL1225	佛說滅除五逆罪大陀羅尼經	1	1	1	62	62		
LQ0951	GL1226	佛說無量功德陀羅尼經	1	1	1	62	62		
LQ1151	GL1227	佛說十八臂陀羅尼經	1	1	1	62	62		
LQ1436	GL1228	佛說洛义陀羅尼經	1	1	1	62	62		
LQ1453	GL1229	佛說辟除諸惡陀羅尼經	1	1	1	62	62		
LQ1748	GL1230	佛三身讚	1	1	1	62	62		
LQ1236	GL1231	曼殊室利菩薩吉祥伽陀	1	1	1	62	62		
LQ0658	GL1232	寶授菩薩菩提行經	1	1	1	62	62		
LQ1755	GL1233	佛說八大靈塔名號經	1	1	1	62	62		
LQ1754	GL1234	八大靈塔梵讚	1	1	1	62	62		
LQ1747	GL1235	三身梵讚	1	1	1	62	62		
LQ0145	GL1236	佛說阿羅漢具德經	1	1	1	62	62		
LQ1227	GL1237	佛說妙吉祥菩薩陀羅尼	1	1	1	62	62		
LQ1435	GL1238	佛說無量壽大智陀羅尼	1	1	1	62	62		
LQ1428	GL1239	佛說宿命智陀羅尼	1	1	1	62	62		
LQ1177	GL1240	佛說慈氏菩薩陀羅尼	1	1	1	62	62		
LQ1185	GL1241	佛說虛空藏菩薩陀羅尼	1	1	1	62	62		
LQ0160	GL1242	佛說尊那經	1	1	1	62	62		
LQ1434	GL1243	佛說無畏陀羅尼經	1	1	1	62	62		
LQ1426	GL1244	佛說大愛陀羅尼經	1	1	1	62	62		
LQ0011	GL1245	大正句王經	2	2	2	62	62		
LQ1137	GL1246	佛說聖多羅菩薩經	1	1	1	62	62		
LQ1172	GL1247	佛說延壽妙門陀羅尼經	1	1	1	62	62		
LQ1413	GL1248	佛說祕密八名陀羅尼經	1	1	1	62	62		
LQ1427	GL1249	佛說大吉祥陀羅尼經	1	1	1	62	62		
LQ1326	GL1250	佛說寶賢陀羅尼經	1	1	1	62	62		
LQ1150	GL1251	佛說觀自在菩薩母陀羅尼經	1	1	1	62	62		
LQ0136	GL1252	佛說戒香經	1	1	1	62	62		
LQ1451	GL1253	佛說息除賊難陀羅尼經	1	1	1	62	62		
LQ1395	GL1254	佛說一切如來名號陀羅尼經	1	1	1	62	62		
LQ0043	GL1255	佛說頻婆裟羅王經	1	1	1	62	62		
LQ0127	GL1256	佛說信解智力經	1	1	1	62	62		
LQ0117	GL1257	佛說舊城喩經	1	1	1	62	62		
LQ1371	GL1258	佛說善藥長者經	1	1	1	62	62		
LQ0009	GL1259	佛说人仙經	1	1	1	62	62		
LQ0020	GL1260	佛说信佛功德經	1	1	1	62	62		
LQ0808	GL1261	佛说法身經	1	1	1	62	62		
LQ0574	GL1262	佛說決定義經	1	1	1	62	62		
LQ1329	GL1263	佛說最上祕密那拏天經	3	3	3	62	62		
LQ0017	GL1264	佛說帝釋所問經	1	1	1	62	62		
LQ0064	GL1265	佛說解夏經	1	1	1	62	62		
LQ0089	GL1266	佛說四品法門經	1	1	1	62	62		
