龙泉编码	高丽初刻编码	實體經名	卷序號	实际卷数	起始冊碼	起始頁碼	終止頁碼	終止冊碼	備註		
LQ1372	GLCK0566	能淨一切眼疾病陀羅尼經	1	1	78	357	359	78	御制緣識并序		
LQ1354	GLCK0567	佛說救拔焰口餓鬼陀羅尼經	1	1	78	360	364	78			
LQ0358	GLCK0568	佛說三十五佛名禮懺文	1	1	78	365	367	78			
LQ1207	GLCK0569	八大菩薩曼茶羅經	1	1	78	368	371	78			
LQ1156	GLCK0570	金剛頂勝初瑜伽普賢菩薩念誦法	1	1	78	372	381	78			
LQ0775	GLCK0571	大乘密嚴經	1	1	78	382	406	78			
LQ0219	GLCK0572	大乘本生心地觀經	7	4	78	468	486	78			
LQ0318	GLCK0573	佛說十地經	3	3	78	505	525	78			
LQ3970	GLCK0574	貞元新定釋教目錄	30	16	78	42	85	80			
LQ0610	GLCK0575	佛說佛名經	11	4	80	189	221	80			
LQ1727	GLCK0576	集大乘相論	2	1	80	222	233	80			
LQ0900	GLCK0577	佛說一切如來真實攝大乘現證三昧大教王經	5	1	80	234	247	80			
LQ0348	GLCK0578	佛說大乘菩薩藏正法經	30	3	80	274	283	80			
#N/A	GLCK0579	新讃一切經源品次錄	20	1	80	284	319	80			
#N/A	GLCK0580	高麗藏初刻本存卷數目表	1	1	80	320	368	80			
	GLCK0581	佛本行集經（开宝）	19		80	369	390	80			
LQ3888	GLCK0582	法苑珠林（开宝）	82		80	391	418	80			
LQ0292	GLCK0584	妙法蓮華經	8	2	80	439	449	80			
LQ0218	GLCK0585	大乘大悲分陀利經	3	1	80	450	470	80			
LQ1576	GLCK0586	大智度論（毗卢）	71		80	471	497	80			
LQ0913	GLCK0587	妙臂菩薩所問經	4	4	80	557	569	80			
LQ3888	GLCK0588	法苑珠林（赵城）	57		80	571	575	80			
LQ0773	GLCK0589	相續解脱地波羅蜜了義經	1	1	80	576	591	80			
	GLCK0590	大方廣佛華嚴經（碛砂）	15		80	592	606	80			
LQ4011	GLCK0591	高丽国新雕大藏教正别录	30	30	81	628	640	81			
