# sid	tripitaka	name	lqsutra	total_reels	remark
GL001090	GL	四童子三昧經	LQ004140	3	
GL001100	GL	大悲經	LQ004150	5	
GL001110	GL	方廣大莊嚴經	LQ002440	12	
GL001120	GL	佛說普曜經	LQ002450	8	
GL001130	GL	佛說法華三昧經	LQ003000	1	
GL001140	GL	無量義經德行品		1	行115:存疑C,龙泉编号为空
GL001150	GL	薩曇分陀利經	LQ002950	1	
GL001160	GL	妙法蓮華經	LQ002920	7	
GL001170	GL	正法華經	LQ002930	10	
GL001180	GL	添品妙法蓮華經	LQ002940	7	
GL001190	GL	維摩詰所說經	LQ006450	3	
GL001200	GL	佛說維摩詰經	LQ006460	2	
GL001210	GL	說無垢稱經	LQ006470	6	
GL001220	GL	佛說大方等頂王經	LQ006490	1	
GL001230	GL	大乘頂王經	LQ006500	1	
GL001240	GL	善思童子經	LQ006480	2	
GL001250	GL	大乘悲分陀利經	LQ002180	8	
GL001260	GL	悲華經	LQ002170	10	
GL001270	GL	金光明最勝王經	LQ007570	10	
GL001280	GL	合部金光明經	LQ007590	8	
GL001290	GL	佛說伅真陀羅所問如來三昧經	LQ007260	3	
GL001300	GL	大樹緊那羅王所問經	LQ007250	4	
GL001310	GL	佛說道神足無極變化經	LQ008340	4	
GL001320	GL	佛昇忉利天為母說法經	LQ008330	3	
GL001330	GL	佛說寶雨經	LQ006590	10	
GL001340	GL	寶雲經	LQ006600	7	
GL001350	GL	佛說阿惟越致遮經	LQ002990	3	
GL001360	GL	佛說廣博嚴淨不退轉輪經	LQ002970	6	
GL001370	GL	不退轉法輪經	LQ002980	4	
GL001380	GL	不必定入定入印經	LQ007460	1	
GL001390	GL	入定不定印經	LQ007450	1	
GL001400	GL	等集眾德三昧經	LQ004170	3	
GL001410	GL	集一切福德三昧經	LQ004160	3	
GL001420	GL	持心梵天所問經	LQ007090	4	
GL001430	GL	思益梵天所問經	LQ007080	4	
GL001440	GL	勝思惟梵天所問經	LQ007100	6	
GL001450	GL	持人菩薩經	LQ006530	4	
GL001460	GL	持世經	LQ006520	4	
GL001470	GL	佛說濟諸方等學經	LQ003060	1	
GL001480	GL	大乘方廣總持經	LQ003050	1	
GL001490	GL	佛說文殊師利現寶藏經	LQ006310	2	
GL001500	GL	大方廣寶篋經	LQ006300	3	
GL001510	GL	大乘同性經	LQ007680	2	
GL001520	GL	證契大乘經	LQ007690	2	
GL001530	GL	深密解脫經	LQ007710	5	
GL001540	GL	解深密經	LQ007700	5	
GL001550	GL	佛說解節經	LQ007720	1	
GL001560	GL	相續解脫地波羅蜜了義經	LQ007730	1	
GL001570	GL	緣生初勝分法本經	LQ008030	2	
GL001580	GL	分別緣起初勝法門經	LQ008020	2	
GL001590	GL	楞伽阿跋多羅寶經	LQ007640	4	
GL001600	GL	入楞伽經	LQ007650	10	
GL001610	GL	大乘入楞伽經	LQ007660	7	
GL001620	GL	佛說菩薩行方便境界神通變化經	LQ003030	3	
