龍泉編碼	乾隆藏編碼	实体经名	卷数	實際卷數	起始册码	终止册码	备注	特殊问题备注		
LQ0053	QL0571	佛說梵志計水淨經	1		54	54				
LQ0067	QL0572	佛說伏婬經	1		54	54				
LQ0068	QL0573	佛說魔嬈亂經	1		54	54				
LQ0069	QL0574	佛說弊魔試目連經	1		54	54				
LQ0091	QL0575	佛說泥犁經	1		54	54				
LQ0093	QL0576	佛說優婆夷墮舍迦經	1		54	54				
LQ0092	QL0577	佛說齋經	1		54	54				
LQ0055	QL0578	佛說苦隂經	1		54	54				
LQ0057	QL0579	佛說苦隂因事經	1		54	54				
LQ0056	QL0580	佛說釋摩男本經	1		54	54				
LQ0095	QL0581	佛說鞞摩肅經	1		54	54				
LQ0096	QL0582	佛說婆羅門子命終愛念不離經	1		54	54				
LQ0097	QL0583	佛說十支居士八城人經	1		54	54				
LQ0098	QL0584	佛說邪見經	1		54	54				
LQ0099	QL0585	佛說箭喻經	1		54	54				
LQ0101	QL0586	佛說普法義經	1		54	54				
LQ0100	QL0587	佛說廣義法門經	1		54	54				
LQ0135	QL0588	佛說戒德香經	1		54	54				
LQ0148	QL0589	佛說四人出現世間經	1		54	54				
LQ0061	QL0590	佛說諸法本經	1		54	54				
LQ0062	QL0591	佛說瞿曇彌記果經	1		54	54				
LQ0022	QL0592	佛說梵志阿颰經	1		54	54				
LQ0024	QL0593	佛說寂志果經	1		54	54				
LQ0070	QL0594	佛說賴吒和羅經	1		54	54				
LQ0019	QL0595	佛說善生子經	1		54	54				
LQ0072	QL0596	佛說數經	1		54	54				
LQ0073	QL0597	佛說梵志頞波羅延問種尊經	1		54	54				
LQ0034	QL0598	佛說四諦經	1		54	54				
LQ0035	QL0599	佛說恒水經	1		54	54				
LQ0065	QL0600	佛說瞻婆比丘經	1		54	54				
LQ0600	QL0601	佛說本相倚致經	1		54	54				
LQ0039	QL0602	佛說緣本致經	1		54	54				
LQ0041	QL0603	佛說頂生王故事經	1		54	54				
LQ0042	QL0604	佛說文陀竭王經	1		54	54				
LQ0074	QL0605	三歸五戒慈心猒離功德經	1		55	55				
LQ0075	QL0606	佛說須達經	1		55	55				
LQ0077	QL0607	佛為黃竹園老婆羅門說學經	1		55	55				
LQ0078	QL0608	佛說梵摩喻經	1		55	55				
LQ0080	QL0609	佛說尊上經	1		55	55				
LQ0082	QL0610	佛說鸚鵡經	1		55	55				
LQ0081	QL0611	佛說兜調經	1		55	55				
LQ0086	QL0612	佛說意經	1		55	55				
LQ0087	QL0613	佛說應法經	1		55	55				
LQ0143	QL0614	佛說波斯匿王太后崩塵土坌身經	1		55	55				
LQ0151	QL0615	須摩提女經	1		55	55				
LQ0152	QL0616	佛說三摩竭經	1		55	55				
LQ0154	QL0617	佛說婆羅門避死經	1		55	55				
LQ0155	QL0618	食施獲五福報經	1		55	55				
LQ0157	QL0619	頻毗娑羅王詣佛供養經	1		55	55				
LQ0159	QL0620	佛說長者子六過出家經	1		55	55				
LQ0137	QL0621	佛說鴦崛摩經	1		55	55				
LQ0138	QL0622	佛說鴦崛髻經	1		55	55				
LQ0161	QL0623	佛說力士移山經	1		55	55				
LQ0162	QL0624	佛說四未曾有法經	1		55	55				
LQ0163	QL0625	佛說舍利弗目揵連遊四衢經	1		55	55				
LQ0002	QL0626	七佛父母姓字經	1		55	55				
LQ0164	QL0627	佛說放牛經	1		55	55				
LQ0118	QL0628	緣起經	1		55	55				
LQ0166	QL0629	佛說十一想思念如來經	1		55	55				
LQ0167	QL0630	佛說四泥犁經	1		55	55				
LQ0174	QL0631	舍衛國王夢見十事經	1		55	55				
LQ0176	QL0632	佛說國王不黎先尼十夢經	1		55	55				
LQ0158	QL0633	阿難同學經	1		55	55				
LQ0105	QL0634	五蘊皆空經	1		55	55				
LQ0467	QL0635	阿難問事佛吉凶經	1		55	55				
LQ0468	QL0636	慢法經	1		55	55				
LQ0469	QL0637	阿難分別經	1		55	55				
LQ0506	QL0638	五母子經	1		55	55				
LQ0507	QL0639	沙彌羅經	1		55	55				
LQ0170	QL0640	玉耶經	1		55	55				
LQ0169	QL0641	玉耶女經	1		55	55				
LQ0171	QL0642	阿遫達經	1		55	55				
LQ0502	QL0643	摩鄧女經	1		55	55				
LQ0503	QL0644	摩登女解形中六事經	1		55	55				
LQ1341	QL0645	摩登伽經	2		55	55				
LQ1342	QL0646	舍頭諫經	1		55	55				
LQ0520	QL0647	治禪病秘要經	2		55	55				
LQ0106	QL0648	佛說七處三觀經	2		55	55				
LQ0168	QL0649	阿那邠邸化七子經	1		55	55				
LQ0172	QL0650	佛說大愛道般涅槃經	1		55	55				
LQ0173	QL0651	佛母般泥洹經	1		55	55				
LQ0108	QL0652	佛說聖法印經	1		55	55				
LQ0111	QL0653	五隂譬喻經	1		55	55				
LQ0112	QL0654	佛說水沬所漂經	1		55	55				
LQ0114	QL0655	佛說不自守意經	1		55	55				
LQ0119	QL0656	佛說滿願子經	1		55	55				
LQ0121	QL0657	轉法輪經	1		55	55				
LQ0122	QL0658	佛說三轉法輪經	1		55	55				
LQ0130	QL0659	佛說八正道經	1		55	55				
LQ0131	QL0660	難提釋經	1		55	55				
LQ0132	QL0661	佛說馬有三相經	1		55	55				
LQ0133	QL0662	佛說馬有八態譬人經	1		55	55				
LQ0124	QL0663	佛說相應相可經	1		55	55				
LQ0181	QL0664	修行本起經	2		55	55				
LQ0182	QL0665	太子瑞應本起經	2		55	55				
LQ0180	QL0666	過去現在因果經	4		55	55				
LQ0504	QL0667	佛說柰女耆域因緣經	1		55	55				
LQ0505	QL0668	佛說柰女耆婆經	1		55	55				
LQ0179	QL0669	佛說生經	5		55	55				
LQ0079	QL0670	蓱沙王五願經	1		55	55				
LQ	QL0671	瑠璃王經0156	1		55	55				
LQ0037	QL0672	佛說海八德經	1		55	55				
LQ0036	QL0673	佛說法海經	1		55	55				
LQ0192	QL0674	佛說義足經	2		55	55				
LQ0553	QL0675	鬼問目連經	1		55	55				
LQ0552	QL0676	雜藏經	1		55	55				
LQ0554	QL0677	餓鬼報應經	1		55	55				
LQ0579	QL0678	佛說四十二章經	1		55	55				
LQ0542	QL0679	正法念處經	70		56	57				
LQ0184	QL0680	佛本行集經	60		57	58				
LQ0518	QL0681	佛說大安般守意經	2		58	58				
LQ0555	QL0682	佛說罵意經	1		58	58				
LQ0523	QL0683	禪行法想經	1		58	58				
LQ0550	QL0684	佛說處處經	1		58	58				
LQ0549	QL0685	佛說分別善惡所起經	1		58	58				
LQ0581	QL0686	佛說出家縁經	1		58	58				
LQ0178	QL0687	佛說阿含正行經	1		58	58				
LQ0551	QL0688	佛說十八泥犂經	1		58	58				
LQ0582	QL0689	佛說法受塵經	1		58	58				
LQ0586	QL0690	佛說進學經	1		58	58				
LQ0580	QL0691	佛說得道梯隥錫杖經	1		58	58				
LQ	QL0692	持錫杖法	1		58	58				
LQ0511	QL0693	佛說貧窮老公經	1		58	58				
LQ0492	QL0694	須摩提長者經	1		58	58				
LQ0490	QL0695	長者懊惱三處經	1		58	58				
LQ0480	QL0696	犍陀國王經	1		58	58				
LQ0470	QL0697	阿難四事經	1		58	58				
LQ0560	QL0698	分別經	1		58	58		西晉竺法護譯		
LQ0481	QL0699	未生怨經	1		58	58				
LQ0557	QL0700	四願經	1		58	58				
LQ0208	QL0701	猘狗經	1		58	58				
LQ0094	QL0702	八關齋經	1		58	58				
LQ0537	QL0703	孝子經	1		58	58				
LQ0512	QL0704	黑氏梵志經	1		58	58				
LQ0491	QL0705	阿鳩留經	1		58	58				
LQ	QL0706	佛為阿支羅迦葉自化作苦經	1		58	58		找不到		
LQ0544	QL0707	佛說罪業報應教化地獄經	1		58	58				
LQ0517	QL0708	佛說龍王兄弟經	1		58	58				
LQ0493	QL0709	佛說長者音恱經	1		58	58				
LQ0508	QL0710	佛說七女經	1		58	58				
LQ0513	QL0711	佛說八師經	1		58	58				
LQ0494	QL0712	佛說越難經	1		58	58				
LQ0559	QL0713	佛說所欲致患經	1		58	58				
LQ0482	QL0714	阿闍世王問五逆經	1		58	58				
LQ0577	QL0715	本事經	7		58	58				
LQ0564	QL0716	佛說中心經	1		58	58		未找到		
LQ0479	QL0717	佛說見正經	1		58	58				
LQ0209	QL0718	佛說大魚事經	1		58	58				
LQ0471	QL0719	佛說阿難七夢經	1		58	58				
LQ0495	QL0720	佛說呵鵰阿那含經	1		58	58				
LQ0538	QL0721	佛說燈指因緣經	1		58	58				
LQ0509	QL0722	佛說婦人遇辜經	1		58	58				
LQ0141	QL0723	佛說四天王經	1		58	58				
LQ0473	QL0724	佛說摩訶迦葉度貧母經	1		58	58				
LQ0522	QL0725	佛說禪行三十七品經	1		58	58				
LQ0478	QL0726	比丘避女惡名欲自殺經	1		58	58				
LQ	QL0727	佛說身觀經	1		58	58		未找到		
LQ0129	QL0728	佛說無常經	1		58	58				
LQ0066	QL0729	佛說八無暇有暇經	1		58	58				
LQ0193	QL0730	五百弟子自說本起經	1		58	58				
LQ0562	QL0731	佛說五苦章句經	1		58	58				
LQ0556	QL0732	佛說堅意經	1		58	58				
LQ0483	QL0733	佛說淨飯王般涅槃經	1		58	58				
LQ0191	QL0734	佛說興起行經	2		58	58				
LQ0514	QL0735	長爪梵志請問經	1		58	58				
LQ0210	QL0736	佛說譬喻經	1		58	58				
LQ0113	QL0737	佛說比丘聽施經	1		58	58				
LQ0587	QL0738	佛說畧教誡經	1		58	58				
LQ1373	QL0739	佛說療痔病經	1		58	58				
LQ0083	QL0740	佛說業報差別經	1		58	58				
LQ0569	QL0741	佛說十二品生死經	1		58	58				
LQ0565	QL0742	佛說輪轉五道罪福報應經	1		58	58				
LQ0568	QL0743	佛說五無返復經	2		58	58				
LQ0497	QL0744	佛說佛大僧大經	1		58	58				
LQ0472	QL0745	佛說大迦葉本經	1		58	58				
LQ0558	QL0746	佛說四自侵經	1		58	58				
LQ0475	QL0747	佛說羅云忍辱經	1		58	58				
LQ0477	QL0748	佛為年少比丘說正事經	1		58	58				
LQ0476	QL0749	佛說沙曷比丘功德經	1		58	58				
LQ0584	QL0750	佛說時非時經	1		58	58				
LQ0563	QL0751	佛說自愛經	1		58	58				
LQ0578	QL0752	佛說賢者五福德經	1		58	58				
LQ1767	QL0753	天請問經	1		58	58				
LQ0566	QL0754	佛說護淨經	1		58	58				
LQ0593	QL0755	佛說木槵經	1		58	58				
LQ0147	QL0756	佛說無上處經	1		58	58				
LQ0496	QL0757	盧至長者因縁經	1		58	58				
LQ0488	QL0758	佛說普達王經	1		58	58				
LQ1303	QL0759	佛說鬼子母經	1		58	58				
LQ0487	QL0760	佛說梵摩難國王經	1		58	58				
LQ0054	QL0761	佛說孫多耶致經	1		58	58				
LQ0536	QL0762	佛說父母恩難報經	1		58	58				
LQ0063	QL0763	佛說新歲經	1		58	58				
LQ0146	QL0764	佛說群牛譬經	1		58	58				
LQ0107	QL0765	佛說九橫經	1		58	58				
LQ1542	QL0766	佛說五恐怖世經	1		58	58				
LQ0590	QL0767	佛說弟子死復生經	1		58	58				
LQ0591	QL0768	佛說懈怠耕者經	1		58	58				
LQ0683	QL0769	佛說辯意長者子所問經	1		58	58				
LQ0510	QL0770	無垢優婆夷問經	1		58	58				
LQ0498	QL0771	佛說耶祇經	1		58	58				
LQ0484	QL0772	佛說末羅王經	1		58	58				
LQ0486	QL0773	佛說摩達國王經	1		58	58				
LQ0485	QL0774	佛說旃陀越國王經	1		58	58				
LQ0489	QL0775	佛說五王經	1		58	58				
LQ0539	QL0776	佛說出家功德經	1		58	58				
LQ0588	QL0777	佛說栴檀樹經	1		58	58				
LQ0561	QL0778	佛說頞多和多耆經	1		58	58				
LQ0519	QL0779	禪秘要法經	3		58	58				
LQ0521	QL0780	陰持入經	2		58	58				
LQ0567	QL0781	佛說因縁僧護經	1		58	58				
LQ1072	QL0782	佛說大乘莊嚴寶王經	4		59	59				
LQ0084	QL0783	分別善惡報應經	2		59	59				
LQ1021	QL0784	佛說守護大千國土經	3		59	59				
LQ0331	QL0785	大方廣總持寶光明經	5		59	59				
LQ0954	QL0786	佛說大乘聖無量壽決定光明王如來陀羅尼經	5		59	59				
LQ1202	QL0787	佛說大乘聖吉祥持世陀羅尼經	1		59	59				
LQ0365	QL0788	佛說大乘日子王所問經	1		59	59				
LQ0684	QL0789	佛說金耀童子經	1		59	59				
LQ1046	QL0790	佛頂放無垢光明入普門觀察一切如來心陀羅尼經	2		59	59				
LQ0787	QL0791	佛說樓閣正法甘露鼓經	1		59	59				
LQ0641	QL0792	佛說大乘善見變化文殊師利問法經	1		59	59				
LQ1184	QL0793	聖虛空藏菩薩陀羅尼經	1		59	59				
LQ1070	QL0794	佛說大護明大陀羅尼經	1		59	59				
LQ0960	QL0795	佛說無能勝旛王如來莊嚴陀羅尼經	1		59	59				
LQ0990-1	QL0796	最勝佛頂陀羅尼經	1		59	59				
LQ0288	QL0797	聖佛母小字般若波羅蜜多經	1		59	59				
LQ1448	QL0798	消除一切閃電障難隨求如意陀羅尼經	1		59	59				
LQ1400	QL0799	聖最上燈明如來陀羅尼經	1		59	59				
LQ1438	QL0800	大寒林聖難拏陀羅尼經	1		59	59				
LQ0571	QL0801	佛說諸行有為經	1		59	59				
LQ1169	QL0802	息除中夭陀羅尼經	1		59	59				
LQ4109	QL0803	一切如來正法秘密篋印心陀羅尼經	1		59	59				
LQ0804	QL0804	妙法聖念處經	8		59	59				
LQ0382	QL0805	佛說大迦葉問大寶積正法經	5		59	59				
LQ0516	QL0806	嗟韈曩法天子受三歸依獲免惡道經	1		59	59				
LQ0572	QL0807	佛說較量壽命經	1		59	59				
LQ1534	QL0808	佛說沙彌十戒儀則經	1		59	59				
LQ1203	QL0809	佛說聖持世陀羅尼經	1		59	59				
LQ0796	QL0810	佛說布施經	1		59	59				
LQ1344	QL0811	佛說聖曜母陀羅尼經	1		59	59				
LQ0576	QL0812	法集名數經	1		59	59				
LQ1138	QL0813	聖多羅菩薩一百八名陀羅尼經	1		59	59				
LQ0540	QL0814	十二縁生祥瑞經	2		59	59				
LQ1139	QL0815	讚揚聖德多羅菩薩一百八名經	2		59	59				
LQ1076	QL0816	聖觀自在菩薩一百八名經	1		59	59				
LQ1528	QL0817	佛說目連所問經	1		59	59				
LQ0861	QL0818	外道問聖大乘法無我義經	1		59	59				
LQ1147	QL0819	毗俱胝菩薩一百八名經	1		59	59				
LQ0863	QL0820	勝軍化世百喻伽他經	1		59	59				
LQ0545	QL0821	六道伽陀經	1		59	59				
LQ0913	QL0822	妙臂菩薩所問經	4		59	59				
LQ1540	QL0823	佛說苾芻五法經	1		59	59				
LQ1540	QL0824	佛說苾芻迦尸迦十法經	1		59	59				
LQ0935	QL0825	諸佛心印陀羅尼經	1		59	59				
LQ0604	QL0826	大乘寶月童子問法經	1		59	59				
LQ1457	QL0827	佛說蓮華眼陀羅尼經	1		59	59				
LQ0289	QL0828	佛說觀想佛母般若波羅蜜多菩薩經	1		59	59				
LQ1449	QL0829	佛說如意摩尼陀羅尼經	1		59	59				
LQ1418	QL0830	佛說聖大總持王經	1		59	59				
LQ1454	QL0831	佛說最上意陀羅尼經	1		59	59				
LQ1417	QL0832	佛說持明藏八大總持王經	1		59	59				
LQ1277	QL0833	聖無能勝金剛火陀羅尼經	1		59	59				
LQ1459	QL0834	佛說尊勝大明王經	1		59	59				
LQ1443	QL0835	佛說智光滅一切業障陀羅尼經	1		59	59				
LQ1450	QL0836	佛說如意寶總持王經	1		59	59				
LQ0716	QL0837	佛說大自在天子因地經	1		59	59				
LQ1458	QL0838	佛說寶生陀羅尼經	1		59	59				
LQ0818	QL0839	佛說十號經	1		59	59				
LQ0720	QL0840	佛為娑伽羅龍王所說大乘法經	1		59	59				
LQ1160	QL0841	佛說普賢菩薩陀羅尼經	1		59	59				
LQ1461	QL0842	大金剛妙高山樓閣陀羅尼	1		59	59				
LQ1149	QL0843	廣大蓮華莊嚴曼拏羅滅一切罪陀羅尼經	1		59	59				
LQ1298	QL0844	佛說大摩里支菩薩經	7		59	59				
LQ1295	QL0845	佛說末利支提婆華鬘經	1		59	59				
LQ1296-2	QL0846	佛說摩利支天經	1		59	59				
LQ1297	QL0847	佛說摩利支天陀羅尼呪經	1		59	59				
LQ0076	QL0848	佛說長者施報經	1		59	59				
LQ1286	QL0849	佛說毗沙門天王經	1		59	59				
LQ0004	QL0850	毗婆尸佛經	2		59	59				
LQ0021	QL0851	佛說大三摩惹經	1		59	59				
LQ0226	QL0852	佛說月光菩薩經	1		59	59				
LQ1159	QL0853	佛說普賢曼拏羅經	1		59	59				
LQ1423	QL0854	佛說聖莊嚴陀羅尼經	2		60	60				
LQ1069	QL0855	佛說聖六字大明王陀羅尼經	1		60	60				
LQ1058	QL0856	千轉大明陀羅尼經	1		60	60				
LQ1402	QL0857	佛說華積樓閣陀羅尼經	1		60	60				
LQ1456	QL0858	佛說勝旛瓔珞陀羅尼經	1		60	60				
LQ0185	QL0859	眾許摩訶帝經	13		60	60				
LQ0003	QL0860	佛說七佛經	1		60	60				
LQ0134	QL0861	佛說解憂經	1		60	60				
LQ0268	QL0862	佛說徧照般若波羅蜜經	1		60	60				
LQ0393	QL0863	佛說大乘無量壽莊嚴經	3		60	60				
LQ0255	QL0864	佛母寶德藏般若波羅蜜經	3		60	60				
LQ0276	QL0865	佛說帝釋般若波羅蜜多心經	1		60	60				
LQ0609	QL0866	佛說諸佛經	1		60	60				
LQ0797	QL0867	大乘舍黎婆擔摩經	1		60	60				
LQ1447	QL0868	大金剛香陀羅尼經	1		60	60				
LQ1161	QL0869	最上大乘金剛大教寶王經	2		60	60				
LQ0032	QL0870	佛說薩缽多酥哩踰捺野經	1		60	60				
LQ1000	QL0871	佛說一切如來烏瑟膩沙最勝緫持經	1		60	60				
LQ1733	QL0872	菩提心觀釋	1		60	60				
LQ0353	QL0873	佛說護國尊者所問大乘經	4		60	60				
LQ0149	QL0874	佛說四無所畏經	1		60	60				
LQ1419	QL0875	增慧陀羅尼經	1		60	60				
LQ1071	QL0876	聖六字增壽大明陀羅尼經	1		60	60				
LQ1564	QL0877	佛說大乘戒經	1		60	60				
LQ0985-1	QL0878	佛說聖最勝陀羅尼經	1		60	60				
LQ0274	QL0879	佛說五十頌聖般若波羅蜜經	1		60	60				
LQ1206-1	QL0880	大乘八大曼拏羅經	1		60	60				
LQ0321	QL0881	佛說較量一切佛剎功德經	1		60	60				
LQ1378	QL0882	囉嚩拏說救療小兒疾病經	1		60	60				
LQ1761	QL0883	迦葉仙人說醫女人經	1		60	60				
LQ1431	QL0884	佛說俱枳羅陀羅尼經	1		60	60				
LQ1446	QL0885	佛說消除一切災障寶髻陀羅尼經	1		60	60				
LQ1432	QL0886	佛說妙色陀羅尼經	1		60	60				
LQ1433	QL0887	佛說栴檀香身陀羅尼經	1		60	60				
LQ1430	QL0888	佛說鉢蘭那賒嚩哩大陀羅尼經	1		60	60				
LQ1429	QL0889	佛說宿命智陀羅尼經	1		60	60				
LQ1178	QL0890	佛說慈氏菩薩誓願陀羅尼經	1		60	60				
LQ1445	QL0891	佛說滅除五逆罪大陀羅尼經	1		60	60				
LQ0951	QL0892	佛說無量功德陀羅尼經	1		60	60				
LQ1151	QL0893	佛說十八臂陀羅尼經	1		60	60				
LQ1436	QL0894	佛說洛叉陀羅尼經	1		60	60				
LQ1453	QL0895	佛說辟除諸惡陀羅尼經	1		60	60				
LQ1426	QL0896	佛說大愛陀羅尼經	1		60	60				
LQ0145	QL0897	佛說阿羅漢具德經	1		60	60				
LQ1755	QL0898	佛說八大靈塔名號經	1		60	60				
LQ0160	QL0899	佛說尊那經	1		60	60				
LQ0043	QL0900	佛說頻婆娑羅王經	1		60	60				
LQ0009	QL0901	佛說人仙經	1		60	60				
LQ0117	QL0902	佛說舊城喻經	1		60	60				
LQ0127	QL0903	佛說信解智力經	1		60	60				
LQ0011	QL0904	大正句王經	2		60	60				
LQ1371	QL0905	佛說善樂長者經	1		60	60				
LQ1137	QL0906	佛說聖多羅菩薩經	1		60	60				
LQ1427	QL0907	佛說大吉祥陀羅尼經	1		60	60				
LQ1326	QL0908	寶賢陀羅尼經	1		60	60				
LQ1413	QL0909	佛說秘密八名陀羅尼經	1		60	60				
LQ1150	QL0910	觀自在菩薩母陀羅尼經	1		60	60				
LQ0136	QL0911	佛說戒香經	1		60	60				
LQ1227	QL0912	佛說妙吉祥菩薩陀羅尼	1		60	60				
LQ1435	QL0913	佛說無量壽大智陀羅尼	1		60	60				
LQ1428	QL0914	佛說宿命智陀羅尼	1		60	60				
LQ1177	QL0915	佛說慈氏菩薩陀羅尼	1		60	60				
LQ1185	QL0916	佛說虛空藏菩薩陀羅尼	1		60	60				
LQ0658	QL0917	寶授菩薩菩提行經	1		60	60				
LQ1172	QL0918	佛說延壽妙門陀羅尼經	1		60	60				
LQ1395	QL0919	一切如來名號陀羅尼經	1		60	60				
LQ1451	QL0920	佛說息除賊難陀羅尼經	1		60	60				
LQ0808	QL0921	佛說法身經	1		60	60				
LQ0020	QL0922	信佛功德經	1		60	60				
LQ0064	QL0923	佛說解夏經	1		60	60				
LQ0017	QL0924	佛說帝釋所問經	1		60	60				
LQ0727	QL0925	佛說未曾有正法經	6		60	60				
LQ0376	QL0926	佛說大方廣善巧方便經	4		60	60				
LQ0254	QL0927	佛母出生三法藏般若波羅密多經	25		60	61				
LQ0574	QL0928	佛說決定義經	1		61	61				
LQ0071	QL0929	佛說護國經	1		61	61				
LQ0088	QL0930	佛說分別布施經	1		61	61				
LQ0165	QL0931	佛說分別緣生經	1		61	61				
LQ0109	QL0932	佛說法印經	1		61	61				
LQ0016	QL0933	佛說大生義經	1		61	61				
LQ0853	QL0934	佛說發菩提心破諸魔經	2		61	61				
LQ0283	QL0935	佛說聖佛母般若波羅蜜多經	1		61	61				
LQ0859	QL0936	佛說大乘不思議神通境界經	3		61	61				
LQ0153	QL0937	佛說給孤長者女得度因緣經	3		61	61				
LQ0013	QL0938	佛說大集法門經	2		61	61				
LQ0500	QL0939	佛說光明童子因緣經	4		61	61				
LQ1424	QL0940	佛說寶帶陀羅尼經	1		61	61				
LQ1460	QL0941	佛說金身陀羅尼經	1		61	61				
LQ0754	QL0942	佛說入無分別法門經	1		61	61				
LQ0085	QL0943	佛說淨意優婆塞所問經	1		61	61				
LQ0904	QL0944	佛說金剛場莊嚴般若波羅蜜多教中一分	1		61	61				
LQ0090	QL0945	佛說息諍因緣經	1		61	61				
LQ	QL0946	佛說初分說經	2		61	61				
LQ0363	QL0947	佛說無畏授所問大乘經	3		61	61				
LQ0142	QL0948	佛說月喻經	1		61	61				
LQ0123	QL0949	佛說醫喻經	1		61	61				
LQ0211	QL0950	佛說灌頂王喻經	1		61	61				
LQ0012	QL0951	佛說尼拘陀梵志經	2		61	61				
LQ0010	QL0952	佛說白衣金幢二婆羅門緣起經	3		61	61				
LQ0233	QL0953	佛說福力太子因緣經	3		61	61				
LQ0570	QL0954	佛說身毛喜豎經	3		61	61				
LQ0219	QL0955	大乘本生心地觀經	8		61	61				
LQ1038	QL0956	佛說出生無邊門陀羅尼經	1		61	61				
LQ1044-1	QL0957	一切如來心祕密全身舍利寶篋印陀羅尼經	1		61	61				
LQ1293-1	QL0958	佛說大吉祥天女十二名號經	1		61	61				
LQ1294	QL0959	佛說大吉祥天女十二契一百八名無垢大乘經	1		61	61				
LQ1170	QL0960	佛說一切如來金剛壽命陀羅尼經	1		61	61				
LQ1305-1	QL0961	佛說穰麌梨童女經	1		61	61				
LQ1201	QL0962	佛說雨寶陀羅尼經	1		61	61				
LQ0800	QL0963	慈氏菩薩所說大乘緣生稻𦼮喻經	1		61	61				
LQ0662	QL0964	佛說除蓋障菩薩所問經	20		61	61				
LQ0272	QL0965	仁王護國般若波羅密多經	2		61	61				
LQ1269	QL0966	穢跡金剛說神通大滿陀羅尼法術靈要門經	1		62	62				
LQ1270	QL0967	穢跡金剛法禁百變法門經	1		62	62				
LQ0603	QL0968	佛說大乘大方廣佛冠經	2		62	62				
LQ1565	QL0969	佛說八種長養功德經	1		62	62				
LQ1014	QL0970	大雲輪請雨經	2		62	62		唐 不空译		
LQ0776	QL0971	大乘密嚴經	3		62	62		唐 不空译		
LQ0464	QL0972	佛說大集會正法經	5		62	62				
LQ1133	QL0973	葉衣觀自在菩薩經	1		62	62				
LQ1285	QL0974	毗沙門天王經	1		62	62				
LQ	QL0975	文殊問經字母品	1		62	62				
LQ0442	QL0976	海意菩薩所問淨印法門經	9		62	62				
LQ0405	QL0977	佛說如幻三摩地無量印法門經	3		62	62				
LQ1019	QL0978	守護國界主陀羅尼經	10		62	62				
LQ0358	QL0979	佛說三十五佛名禮懺文	1		62	62				
LQ1059	QL0980	觀自在菩薩說普賢陀羅尼經	1		62	62				
LQ1207	QL0981	佛說八大菩薩曼荼羅經	1		62	62				
LQ1372	QL0982	佛說能淨一切眼疾病陀羅尼經	1		62	62				
LQ1370	QL0983	佛說除一切疾病陀羅尼經	1		62	62				
LQ1354	QL0984	佛說救拔焰口餓鬼陀羅尼經	1		62	62				
LQ1359	QL0985	瑜珈集要救阿難陀羅尼焰口儀軌經	1		62	62				
LQ0140	QL0986	佛說蟻喻經	1		62	62				
LQ1129	QL0987	聖觀自在菩薩不空王秘密心陀羅尼經	1		62	62				
LQ0666	QL0988	佛說勝軍王所問經	1		62	62				
LQ0040	QL0989	佛說輪王七寶經	1		62	62				
LQ0030	QL0990	佛說園生樹經	1		62	62				
LQ0273	QL0991	佛說了義般若波羅蜜多經	1		62	62				
LQ0860	QL0992	佛說大方廣未曾有經善巧方便品	1		62	62				
LQ0008	QL0993	佛說大堅固婆羅門緣起經	2		62	62				
LQ0682	QL0994	佛說巨力長者所問大乘經	3		62	62				
LQ0644	QL0995	佛說妙吉祥菩薩所問大乘法螺經	1		62	62				
LQ0089	QL0996	佛說四品法門經	1		62	62				
LQ0617	QL0997	佛說八大菩薩經	1		62	62				
LQ1420	QL0998	佛說施一切無畏陀羅尼經	1		62	62				
LQ0275	QL0999	聖八千頌般若波羅蜜多一百八名真實圓義陀羅尼經	1		62	62				
LQ1143	QL1000	佛說一髻尊陀羅尼經	1		62	62				
LQ1462	QL1001	金剛摧碎陀羅尼	1		62	62				
LQ1130	QL1002	不空罥索毗盧遮那佛大灌頂光真言經	1		62	62				
LQ0453	QL1003	地藏菩薩本願經	2		62	62				
LQ0291	QL1004	大乘理趣六波羅密多經	10		62	63				
LQ0348	QL1005	佛說大乘菩薩藏正法經	40		63	63				
LQ0671	QL1006	佛為優填王說王法政論經	1		63	63				
LQ0150	QL1007	佛說五大施經	1		63	63				
LQ1434	QL1008	佛說無畏陀羅尼經	1		63	63				
LQ0980	QL1009	佛說大威德金輪佛頂熾盛光如來消除一切災難陀羅尼經	1		63	63				
LQ0979	QL1010	佛說熾盛光大威德消灾吉祥陀羅尼經	1		63	63				
LQ0225	QL1011	佛說頂生王因緣經	6		63	63				
LQ0753	QL1012	佛說大乘隨轉宣說諸法經	3		63	63				
LQ0387	QL1013	佛說大乘入諸佛境界智光明莊嚴經	5		63	63				
LQ0732	QL1014	佛說大乘智印經	5		63	63				
LQ0575	QL1015	佛說法乘義決定經	3		63	63				
LQ0999	QL1016	佛說大白傘蓋緫持陀羅尼經	1		63	63				
LQ0900	QL1017	佛說一切如來真實攝大乘現證三昧大教王經	30		63	64				
LQ0907	QL1018	一切如來大祕密王未曾有最上微妙大曼拏羅經	5		64	64				
LQ1284	QL1019	出生一切如來法眼徧照大力明王經	2		64	64				
LQ0883	QL1020	金剛頂一切如來真實攝大乘現證大教王經	3		64	64				
LQ1061	QL1021	阿唎多羅陀羅尼阿嚕力經	1		64	64				
LQ0908	QL1022	佛說瑜伽大教王經	5		64	64				
LQ0970	QL1023	一字竒特佛頂經	3		64	64				
